ticker,current_market_cap,metadata_source,metadata_fetch_status,metadata_fetch_error
A,38377395511.03383,yfinance.Ticker.fast_info.market_cap,success,
AA,19960629983.9344,yfinance.Ticker.fast_info.market_cap,success,
AAL,9689292004.751593,yfinance.Ticker.fast_info.market_cap,success,
AAON,11650302163.33542,yfinance.Ticker.fast_info.market_cap,success,
AAPL,4589945766991.211,yfinance.Ticker.fast_info.market_cap,success,
ABBV,386415269742.9224,yfinance.Ticker.fast_info.market_cap,success,
ABNB,79832343932.51009,yfinance.Ticker.fast_info.market_cap,success,
ABT,150126879995.73352,yfinance.Ticker.fast_info.market_cap,success,
ACGL,31679153304.20856,yfinance.Ticker.fast_info.market_cap,success,
ACI,7870521991.564993,yfinance.Ticker.fast_info.market_cap,success,
ACM,9110347458.754578,yfinance.Ticker.fast_info.market_cap,success,
ACN,109775166305.77551,yfinance.Ticker.fast_info.market_cap,success,
ADBE,97602174493.4082,yfinance.Ticker.fast_info.market_cap,success,
ADC,8953067404.240097,yfinance.Ticker.fast_info.market_cap,success,
ADI,204094345387.10938,yfinance.Ticker.fast_info.market_cap,success,
ADM,38544472511.4177,yfinance.Ticker.fast_info.market_cap,success,
ADP,87885579484.49844,yfinance.Ticker.fast_info.market_cap,success,
ADSK,50875447584.08583,yfinance.Ticker.fast_info.market_cap,success,
AEE,30165926144.0,yfinance.Ticker.fast_info.market_cap,success,
AEIS,12681777500.832062,yfinance.Ticker.fast_info.market_cap,success,
AEP,69498537563.88446,yfinance.Ticker.fast_info.market_cap,success,
AES,10479852374.896538,yfinance.Ticker.fast_info.market_cap,success,
AFG,10973179590.350649,yfinance.Ticker.fast_info.market_cap,success,
AFL,57314246823.54852,yfinance.Ticker.fast_info.market_cap,success,
AGCO,8243710688.463356,yfinance.Ticker.fast_info.market_cap,success,
AIG,39415528527.46683,yfinance.Ticker.fast_info.market_cap,success,
AIT,11418465664.944763,yfinance.Ticker.fast_info.market_cap,success,
AIZ,12259076255.815569,yfinance.Ticker.fast_info.market_cap,success,
AJG,52046170892.7002,yfinance.Ticker.fast_info.market_cap,success,
AKAM,20803203651.172577,yfinance.Ticker.fast_info.market_cap,success,
ALB,20790110383.42459,yfinance.Ticker.fast_info.market_cap,success,
ALGM,9514102750.955284,yfinance.Ticker.fast_info.market_cap,success,
ALGN,12413570084.046707,yfinance.Ticker.fast_info.market_cap,success,
ALK,5188133368.704414,yfinance.Ticker.fast_info.market_cap,success,
ALL,53417415770.2446,yfinance.Ticker.fast_info.market_cap,success,
ALLE,11302284805.87761,yfinance.Ticker.fast_info.market_cap,success,
ALLY,13128383306.72049,yfinance.Ticker.fast_info.market_cap,success,
ALV,9660364632.897491,yfinance.Ticker.fast_info.market_cap,success,
AM,10052952134.857178,yfinance.Ticker.fast_info.market_cap,success,
AMAT,357027670667.26746,yfinance.Ticker.fast_info.market_cap,success,
AMCR,18147068332.5,yfinance.Ticker.fast_info.market_cap,success,
AMD,844667452932.2244,yfinance.Ticker.fast_info.market_cap,success,
AME,51641727821.04236,yfinance.Ticker.fast_info.market_cap,success,
AMG,7994541883.742371,yfinance.Ticker.fast_info.market_cap,success,
AMGN,181584855375.53577,yfinance.Ticker.fast_info.market_cap,success,
AMH,11533650230.210085,yfinance.Ticker.fast_info.market_cap,success,
AMKR,17494842774.308136,yfinance.Ticker.fast_info.market_cap,success,
AMP,39528646037.47644,yfinance.Ticker.fast_info.market_cap,success,
AMT,87070755381.05144,yfinance.Ticker.fast_info.market_cap,success,
AMZN,2946910261304.572,yfinance.Ticker.fast_info.market_cap,success,
AN,6482160852.246552,yfinance.Ticker.fast_info.market_cap,success,
ANET,195347545842.784,yfinance.Ticker.fast_info.market_cap,success,
ANF,3689646926.231247,yfinance.Ticker.fast_info.market_cap,success,
AON,67977271067.00595,yfinance.Ticker.fast_info.market_cap,success,
AOS,7940307112.763916,yfinance.Ticker.fast_info.market_cap,success,
APA,12912266960.82779,yfinance.Ticker.fast_info.market_cap,success,
APD,63185644652.5,yfinance.Ticker.fast_info.market_cap,success,
APG,18030948439.442585,yfinance.Ticker.fast_info.market_cap,success,
APH,182000886796.8021,yfinance.Ticker.fast_info.market_cap,success,
APO,73523277729.13327,yfinance.Ticker.fast_info.market_cap,success,
APP,201469639692.14185,yfinance.Ticker.fast_info.market_cap,success,
APPF,5629078345.694321,yfinance.Ticker.fast_info.market_cap,success,
APTV,13497156953.73416,yfinance.Ticker.fast_info.market_cap,success,
AR,11085931701.782228,yfinance.Ticker.fast_info.market_cap,success,
ARE,8720444938.748474,yfinance.Ticker.fast_info.market_cap,success,
ARES,28416436804.2554,yfinance.Ticker.fast_info.market_cap,success,
ARMK,14032517384.218826,yfinance.Ticker.fast_info.market_cap,success,
ARW,11039307570.730316,yfinance.Ticker.fast_info.market_cap,success,
ARWR,11131930197.685394,yfinance.Ticker.fast_info.market_cap,success,
ASB,5259449615.066448,yfinance.Ticker.fast_info.market_cap,success,
ASGN,833931000.0,yfinance.Ticker.fast_info.market_cap,success,
ASH,2625471140.1666603,yfinance.Ticker.fast_info.market_cap,success,
ASML,618402643492.5,yfinance.Ticker.fast_info.market_cap,success,
ATI,23246372035.41037,yfinance.Ticker.fast_info.market_cap,success,
