rate_suffix,annual_cash_rate,policy_name,decision_steps,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,executed_sale_step_share,mean_executed_original_fraction_per_step
0700,0.07,trained_dqn_fixed_margin,21497,0.868725868726,0.033074382472,0.0623342792017,0.0358654696004,0,0.131274131274,0.0578685397963
0700,0.07,hold_to_terminal,126513,1,0,0,0,0,0,0
0700,0.07,sell_immediately,1519,0,0,0,0,1,1,1
0700,0.07,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
0700,0.07,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
0700,0.07,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
1000,0.1,trained_dqn_fixed_margin,19310,0.871361988607,0.0358881408597,0.0303987571207,0.0163127912998,0.0460383221129,0.128638011393,0.0710124287934
1000,0.1,hold_to_terminal,126513,1,0,0,0,0,0,0
1000,0.1,sell_immediately,1519,0,0,0,0,1,1,1
1000,0.1,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
1000,0.1,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
1000,0.1,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
1050,0.105,trained_dqn_fixed_margin,30596,0.876291018434,0.0690939992156,0.039514969277,0.0148058569748,0.000294156098836,0.123708981566,0.0444992809518
1050,0.105,hold_to_terminal,126513,1,0,0,0,0,0,0
1050,0.105,sell_immediately,1519,0,0,0,0,1,1,1
1050,0.105,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
1050,0.105,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
1050,0.105,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
1200,0.12,trained_dqn_fixed_margin,30938,0.895759260456,0.0458982481091,0.0516193677678,0.00672312366669,0,0.104240739544,0.0390943176676
1200,0.12,hold_to_terminal,126513,1,0,0,0,0,0,0
1200,0.12,sell_immediately,1519,0,0,0,0,1,1,1
1200,0.12,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
1200,0.12,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
1200,0.12,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
1375,0.1375,trained_dqn_fixed_margin,32398,0.896042965615,0.0583678004815,0.0252484721279,0.0203407617754,0,0.103957034385,0.0379961726032
1375,0.1375,hold_to_terminal,126513,1,0,0,0,0,0,0
1375,0.1375,sell_immediately,1519,0,0,0,0,1,1,1
1375,0.1375,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
1375,0.1375,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
1375,0.1375,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
1500,0.15,trained_dqn_fixed_margin,23585,0.862327750689,0.0577485690057,0.037566249735,0.0423574305703,0,0.137672249311,0.0564341742633
1500,0.15,hold_to_terminal,126513,1,0,0,0,0,0,0
1500,0.15,sell_immediately,1519,0,0,0,0,1,1,1
1500,0.15,sell_half_then_hold,126513,0.987993328749,0,0.0120066712512,0,0,0.0120066712512,0.00600333562559
1500,0.15,sell_quarters_over_time,5866,0,1,0,0,0,1,0.25
1500,0.15,random_policy,3556,0.194038245219,0.196006749156,0.205005624297,0.205849268841,0.199100112486,0.805961754781,0.418658605174
