rate_suffix,annual_cash_rate,policy_name,episodes,mean_final_total_after_tax_wealth,median_final_total_after_tax_wealth,mean_excess_vs_same_rate_hold,median_excess_vs_same_rate_hold,paired_wins,paired_ties,paired_losses,mean_excess_ci95_low,mean_excess_ci95_high,median_excess_ci95_low,median_excess_ci95_high
0700,0.07,trained_dqn_fixed_margin,1519,1.43792276736,1.33805810163,-0.0391674083817,0,574,247,698,-0.0545496815861,-0.0254680027956,0,0
0700,0.07,hold_to_terminal,1519,1.47709017574,1.38352355371,0,0,0,1519,0,0,0,0,0
0700,0.07,sell_immediately,1519,1.43690203876,1.32739478903,-0.0401881369843,-0.00618091525978,683,42,794,-0.0563864089472,-0.0257412193442,-0.0146435691525,0
0700,0.07,sell_half_then_hold,1519,1.45699610725,1.36052551137,-0.0200940684921,-0.00309045762989,683,42,794,-0.0281932044736,-0.0128706096721,-0.00732178457624,0
0700,0.07,sell_quarters_over_time,1519,1.43767654136,1.33016842773,-0.0394136343818,-0.00498828536084,684,42,793,-0.0552498184403,-0.0251219832136,-0.0107425615348,0
0700,0.07,random_policy,1519,1.43740903026,1.32895246661,-0.0396811454832,-0.00522832752377,683,47,789,-0.0559146694512,-0.0252388804897,-0.0122092988887,0
1000,0.1,trained_dqn_fixed_margin,1519,1.4513258012,1.3538785213,-0.0257643745458,0,684,133,702,-0.0407096696625,-0.0121090503595,0,0
1000,0.1,hold_to_terminal,1519,1.47709017574,1.38352355371,0,0,0,1519,0,0,0,0,0
1000,0.1,sell_immediately,1519,1.44688898131,1.34430719044,-0.0302011944331,0,723,42,754,-0.046290111592,-0.0157068850442,-0.00690926467713,0.000260707426664
1000,0.1,sell_half_then_hold,1519,1.46198957853,1.36658308563,-0.0151005972166,0,723,42,754,-0.023145055796,-0.00785344252211,-0.00345463233856,0.000130353713332
1000,0.1,sell_quarters_over_time,1519,1.44747795577,1.3458149018,-0.02961221997,-0.000616757890859,713,42,764,-0.0454350281057,-0.0154029803582,-0.00544059161831,0
1000,0.1,random_policy,1519,1.44730189999,1.34530763075,-0.0297882757513,-2.22044604925e-16,714,47,758,-0.0458076290502,-0.015413755656,-0.00668747781858,0
1050,0.105,trained_dqn_fixed_margin,1519,1.45256243909,1.35475239682,-0.0245277366516,0,683,143,693,-0.0391835928179,-0.0111650622993,0,0
1050,0.105,hold_to_terminal,1519,1.47709017574,1.38352355371,0,0,0,1519,0,0,0,0,0
1050,0.105,sell_immediately,1519,1.44854116758,1.3472245898,-0.0285490081582,0,733,42,744,-0.0446356720832,-0.0140724018717,-0.0060857092837,0.00178894058666
