rate_suffix,annual_cash_rate,policy_name,episodes,max_net_interest_residual,max_final_wealth_residual,max_sale_proceeds_residual,max_base_reward_residual,max_sale_fraction_residual,max_hold_excess_residual
0700,0.07,trained_dqn_fixed_margin,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,9.29811783124e-16,0,8.881784197e-16
0700,0.07,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
0700,0.07,sell_immediately,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,8.30932544993e-16,0,1.7763568394e-15
0700,0.07,sell_half_then_hold,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,8.881784197e-16,0,8.881784197e-16
0700,0.07,sell_quarters_over_time,1519,1.11022302463e-16,8.881784197e-16,1.33226762955e-15,6.1235738702e-16,0,8.881784197e-16
0700,0.07,random_policy,1519,1.94289029309e-16,8.881784197e-16,1.7763568394e-15,9.19403442268e-16,0,8.881784197e-16
1000,0.1,trained_dqn_fixed_margin,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,9.43689570931e-16,0,8.881784197e-16
1000,0.1,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
1000,0.1,sell_immediately,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,8.93382590128e-16,0,8.881784197e-16
1000,0.1,sell_half_then_hold,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,9.43689570931e-16,0,8.881784197e-16
1000,0.1,sell_quarters_over_time,1519,1.11022302463e-16,8.881784197e-16,1.33226762955e-15,8.60422844084e-16,0,1.7763568394e-15
1000,0.1,random_policy,1519,1.94289029309e-16,1.7763568394e-15,1.7763568394e-15,6.14959472234e-16,0,9.08995101412e-16
1050,0.105,trained_dqn_fixed_margin,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,8.32667268469e-16,0,8.881784197e-16
1050,0.105,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
1050,0.105,sell_immediately,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,6.73072708679e-16,0,1.7763568394e-15
1050,0.105,sell_half_then_hold,1519,1.04083408559e-16,8.881784197e-16,8.881784197e-16,9.74914593499e-16,0,8.881784197e-16
1050,0.105,sell_quarters_over_time,1519,1.94289029309e-16,1.33226762955e-15,1.33226762955e-15,9.50628464835e-16,0,9.15933995316e-16
1050,0.105,random_policy,1519,1.94289029309e-16,8.881784197e-16,1.7763568394e-15,5.27355936697e-16,0,9.43689570931e-16
1200,0.12,trained_dqn_fixed_margin,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,9.26342336172e-16,0,8.881784197e-16
1200,0.12,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
1200,0.12,sell_immediately,1519,1.66533453694e-16,8.881784197e-16,8.881784197e-16,5.37764277553e-16,0,1.7763568394e-15
1200,0.12,sell_half_then_hold,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,6.66133814775e-16,0,8.881784197e-16
1200,0.12,sell_quarters_over_time,1519,1.94289029309e-16,8.881784197e-16,1.33226762955e-15,9.43689570931e-16,0,8.881784197e-16
1200,0.12,random_policy,1519,1.94289029309e-16,8.881784197e-16,1.7763568394e-15,8.18789480661e-16,0,1.7763568394e-15
1375,0.1375,trained_dqn_fixed_margin,1519,1.94289029309e-16,1.33226762955e-15,1.33226762955e-15,8.881784197e-16,0,8.881784197e-16
1375,0.1375,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
1375,0.1375,sell_immediately,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,9.80986125665e-16,0,9.43689570931e-16
1375,0.1375,sell_half_then_hold,1519,1.11022302463e-16,8.881784197e-16,8.881784197e-16,8.95117313604e-16,0,8.881784197e-16
1375,0.1375,sell_quarters_over_time,1519,1.11022302463e-16,8.881784197e-16,1.33226762955e-15,9.36750677027e-16,0,8.881784197e-16
1375,0.1375,random_policy,1519,1.99493199737e-16,8.881784197e-16,1.7763568394e-15,9.80986125665e-16,0,8.881784197e-16
1500,0.15,trained_dqn_fixed_margin,1519,1.11022302463e-16,1.33226762955e-15,8.881784197e-16,9.15933995316e-16,0,8.881784197e-16
1500,0.15,hold_to_terminal,1519,0,0,8.881784197e-16,8.881784197e-16,0,0
1500,0.15,sell_immediately,1519,1.94289029309e-16,8.881784197e-16,8.881784197e-16,6.63531729561e-16,0,8.881784197e-16
1500,0.15,sell_half_then_hold,1519,1.11022302463e-16,1.33226762955e-15,8.881784197e-16,8.881784197e-16,0,8.881784197e-16
1500,0.15,sell_quarters_over_time,1519,1.11022302463e-16,8.881784197e-16,1.33226762955e-15,9.08995101412e-16,0,8.881784197e-16
1500,0.15,random_policy,1519,1.38777878078e-16,8.881784197e-16,1.7763568394e-15,9.15933995316e-16,0,8.881784197e-16
