Reward A Baseline Evaluation Summary
reward_version: A_after_tax_total_value_change
model_path: runs/train_reward_a_v1/final_model.pt
episode_splits_path: runs/train_reward_a_v1/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_reward: hold_to_terminal
best_test_policy_by_mean_reward: hold_to_terminal
summary_table:
     split             policy_name  num_episodes  mean_episode_total_reward  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed
      test        hold_to_terminal          1519                   0.106164                     0.062581                  0.317637                 -0.716261                  4.470448                 -0.220217                  0.510796                          0.477090                            0.383524                     0.477090                       0.383524           82.314681                  67.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
      test           random_policy          1519                   0.002224                     0.000000                  0.028285                 -0.233459                  0.600762                 -0.023298                  0.031451                          0.373150                            0.263722                     0.373150                       0.263722            2.395655                   2.0                        0.052666                         1.0       0.989467             0.252828                    0.0                          0.609780
      test     sell_half_then_hold          1519                   0.053082                     0.031291                  0.158818                 -0.358131                  2.235224                 -0.110108                  0.255398                          0.424008                            0.331214                     0.424008                       0.331214           82.314681                  67.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
      test        sell_immediately          1519                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.370926                            0.261855                     0.370926                       0.261855            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
      test sell_quarters_over_time          1519                   0.002900                     0.001344                  0.031081                 -0.317158                  0.512354                 -0.033487                  0.042011                          0.373826                            0.266643                     0.373826                       0.266643            3.813035                   4.0                        0.076366                         1.0       1.000000             0.000000                    0.0                          0.250000
      test      trained_dqn_greedy          1519                   0.011514                     0.005753                  0.070080                 -0.436123                  0.843925                 -0.078018                  0.113170                          0.382440                            0.280784                     0.382440                       0.280784           12.872943                  10.0                        0.125741                         1.0       0.953259             3.625000                    2.0                          0.353246
validation        hold_to_terminal          1517                   0.087327                     0.049901                  0.314858                 -1.091284                  3.567867                 -0.267640                  0.542095                          0.485359                            0.364218                     0.485359                       0.364218          102.146341                  87.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
validation           random_policy          1517                   0.001805                     0.000000                  0.027398                 -0.531183                  0.223721                 -0.027135                  0.034797                          0.399836                            0.262519                     0.399836                       0.262519            2.384970                   2.0                        0.045485                         1.0       0.991430             0.239362                    0.0                          0.627327
validation     sell_half_then_hold          1517                   0.043664                     0.024950                  0.157429                 -0.545642                  1.783934                 -0.133820                  0.271047                          0.441695                            0.328190                     0.441695                       0.328190          102.146341                  87.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
validation        sell_immediately          1517                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.398031                            0.257764                     0.398031                       0.257764            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
validation sell_quarters_over_time          1517                   0.001927                     0.000703                  0.038533                 -0.737537                  0.221918                 -0.035589                  0.049265                          0.399958                            0.265704                     0.399958                       0.265704            3.797627                   4.0                        0.088991                         1.0       1.000000             0.000000                    0.0                          0.250000
validation      trained_dqn_greedy          1517                   0.006297                     0.002531                  0.091755                 -1.205377                  1.838155                 -0.093364                  0.104677                          0.404328                            0.280258                     0.404328                       0.280258           12.230059                   9.0                        0.131180                         1.0       0.943968             3.280726                    2.0                          0.391236
