Reward A Baseline Evaluation Summary
reward_version: A_after_tax_total_value_change
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_a_v2_full/final_model.pt
episode_splits_path: runs/train_reward_a_v2_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_reward: hold_to_terminal
best_test_policy_by_mean_reward: hold_to_terminal
summary_table:
     split             policy_name  num_episodes  mean_episode_total_reward  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed
      test        hold_to_terminal          1519                   0.110042                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
      test           random_policy          1519                   0.002286                     0.000000                  0.029903                 -0.248235                  0.638784                 -0.024773                  0.033442                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467             0.252828                    0.0                          0.609780
      test     sell_half_then_hold          1519                   0.055021                     0.032076                  0.167479                 -0.383475                  2.360532                 -0.118174                  0.268756                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
      test        sell_immediately          1519                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
      test sell_quarters_over_time          1519                   0.002971                     0.001429                  0.032855                 -0.339622                  0.544780                 -0.035607                  0.044670                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000             0.000000                    0.0                          0.250000
      test      trained_dqn_greedy          1519                   0.017975                     0.012046                  0.099646                 -1.003315                  0.913438                 -0.108094                  0.151802                          0.412279                            0.304169                     0.412279                       0.304169           23.186965                  19.0                        0.266623                         1.0       0.886109             7.493314                    4.0                          0.380201
validation        hold_to_terminal          1517                   0.090020                     0.050848                  0.331267                 -1.167808                  3.724793                 -0.285819                  0.571092                          0.513235                            0.384871                     0.513235                       0.384871          102.146341                  87.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
validation           random_policy          1517                   0.001811                     0.000000                  0.028854                 -0.564801                  0.237881                 -0.028852                  0.036691                          0.425027                            0.279134                     0.425027                       0.279134            2.384970                   2.0                        0.045485                         1.0       0.991430             0.239362                    0.0                          0.627327
validation     sell_half_then_hold          1517                   0.045010                     0.025424                  0.165634                 -0.583904                  1.862396                 -0.142909                  0.285546                          0.468225                            0.347694                     0.468225                       0.347694          102.146341                  87.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
validation        sell_immediately          1517                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.423216                            0.274078                     0.423216                       0.274078            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
validation sell_quarters_over_time          1517                   0.001843                     0.000703                  0.040605                 -0.784215                  0.235964                 -0.037841                  0.051354                          0.425059                            0.281888                     0.425059                       0.281888            3.797627                   4.0                        0.088991                         1.0       1.000000             0.000000                    0.0                          0.250000
validation      trained_dqn_greedy          1517                   0.006702                     0.005520                  0.106039                 -0.473718                  1.789713                 -0.125444                  0.128764                          0.429918                            0.300125                     0.429918                       0.300125           17.442980                  14.0                        0.216216                         1.0       0.893869             6.351770                    3.0                          0.432338
