Reward A Baseline Evaluation Summary
reward_version: A_after_tax_total_value_change
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_a_v3_full/best_validation_model.pt
episode_splits_path: runs/train_reward_a_v3_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_reward: hold_to_terminal
best_test_policy_by_mean_reward: hold_to_terminal
summary_table:
     split                          policy_name  num_episodes  mean_episode_total_reward  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed
      test                     hold_to_terminal          1519                   0.110042                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
      test                        random_policy          1519                   0.002286                     0.000000                  0.029903                 -0.248235                  0.638784                 -0.024773                  0.033442                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467             0.252828                    0.0                          0.609780
      test                  sell_half_then_hold          1519                   0.055021                     0.032076                  0.167479                 -0.383475                  2.360532                 -0.118174                  0.268756                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
      test                     sell_immediately          1519                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
      test              sell_quarters_over_time          1519                   0.002971                     0.001429                  0.032855                 -0.339622                  0.544780                 -0.035607                  0.044670                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000             0.000000                    0.0                          0.250000
      test                   trained_dqn_greedy          1519                   0.017616                     0.008697                  0.100082                 -1.112075                  0.944280                 -0.100426                  0.155209                          0.411919                            0.306579                     0.411919                       0.306579           19.992100                  15.0                        0.197498                         1.0       0.900592             8.059942                    4.0                          0.510965
      test trained_dqn_thresholded_margin_0p001          1519                   0.017970                     0.009006                  0.101048                 -1.112075                  0.944280                 -0.101115                  0.157419                          0.412274                            0.306530                     0.412274                       0.306530           20.541804                  15.0                        0.204740                         1.0       0.897959             8.428886                    4.0                          0.516312
      test trained_dqn_thresholded_margin_0p005          1519                   0.021164                     0.010755                  0.109251                 -1.068157                  1.240377                 -0.102889                  0.167390                          0.415467                            0.311062                     0.415467                       0.311062           22.679394                  16.0                        0.222515                         1.0       0.884134             9.870439                    5.0                          0.532762
      test trained_dqn_thresholded_margin_0p010          1519                   0.023921                     0.012765                  0.118144                 -1.068157                  1.920338                 -0.112538                  0.177949                          0.418224                            0.313200                     0.418224                       0.313200           25.335747                  19.0                        0.254115                         1.0       0.860434            11.553175                    7.0                          0.539594
      test trained_dqn_thresholded_margin_0p015          1519                   0.027800                     0.015139                  0.128199                 -1.068157                  2.001822                 -0.114802                  0.200285                          0.422103                            0.319201                     0.422103                       0.319201           28.223831                  20.0                        0.287689                         1.0       0.842660            13.425781                    7.0                          0.554102
      test trained_dqn_thresholded_margin_0p020          1519                   0.031876                     0.017290                  0.139805                 -1.068157                  2.001822                 -0.119094                  0.211497                          0.426179                            0.323646                     0.426179                       0.323646           31.258065                  22.0                        0.318631                         1.0       0.819618            15.718876                    9.0                          0.568876
validation                     hold_to_terminal          1517                   0.090020                     0.050848                  0.331267                 -1.167808                  3.724793                 -0.285819                  0.571092                          0.513235                            0.384871                     0.513235                       0.384871          102.146341                  87.0                        1.000000                         1.0       0.000000                  NaN                    NaN                               NaN
validation                        random_policy          1517                   0.001811                     0.000000                  0.028854                 -0.564801                  0.237881                 -0.028852                  0.036691                          0.425027                            0.279134                     0.425027                       0.279134            2.384970                   2.0                        0.045485                         1.0       0.991430             0.239362                    0.0                          0.627327
validation                  sell_half_then_hold          1517                   0.045010                     0.025424                  0.165634                 -0.583904                  1.862396                 -0.142909                  0.285546                          0.468225                            0.347694                     0.468225                       0.347694          102.146341                  87.0                        1.000000                         1.0       1.000000             0.000000                    0.0                          0.500000
validation                     sell_immediately          1517                   0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.423216                            0.274078                     0.423216                       0.274078            1.000000                   1.0                        0.000000                         1.0       1.000000             0.000000                    0.0                          1.000000
validation              sell_quarters_over_time          1517                   0.001843                     0.000703                  0.040605                 -0.784215                  0.235964                 -0.037841                  0.051354                          0.425059                            0.281888                     0.425059                       0.281888            3.797627                   4.0                        0.088991                         1.0       1.000000             0.000000                    0.0                          0.250000
validation                   trained_dqn_greedy          1517                   0.001869                     0.003634                  0.120638                 -1.232788                  1.816019                 -0.156568                  0.143596                          0.425084                            0.299087                     0.425084                       0.299087           22.071193                  16.0                        0.208965                         1.0       0.899143             9.728739                    5.0                          0.493585
validation trained_dqn_thresholded_margin_0p001          1517                   0.002424                     0.003730                  0.130896                 -1.415262                  2.074667                 -0.167313                  0.147431                          0.425639                            0.299148                     0.425639                       0.299148           22.538563                  17.0                        0.211602                         1.0       0.895847            10.032377                    5.0                          0.495769
validation trained_dqn_thresholded_margin_0p005          1517                   0.002758                     0.003985                  0.168211                 -3.172662                  3.348889                 -0.168727                  0.168991                          0.425973                            0.300488                     0.425973                       0.300488           24.904417                  19.0                        0.229400                         1.0       0.886618            11.440892                    6.0                          0.505576
