Reward Baseline Evaluation Summary
reward_version: C_lite_after_tax_value_change_minus_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v1_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v1_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                          policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed
      test                     hold_to_terminal          1519                   0.110042                     0.110042                          0.110042                             0.000000                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN
      test                        random_policy          1519                   0.001455                     0.002286                          0.001455                             0.000830                     0.000000                  0.029890                 -0.248235                  0.637128                 -0.026291                  0.032458                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467                    0.795260             0.252828                    0.0                          0.609780
      test                  sell_half_then_hold          1519                   0.055021                     0.055021                          0.055021                             0.000000                     0.032076                  0.167479                 -0.383475                  2.360532                 -0.118174                  0.268756                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000
      test                     sell_immediately          1519                   0.000000                     0.000000                          0.000000                             0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000
      test              sell_quarters_over_time          1519                   0.001340                     0.002971                          0.001340                             0.001631                     0.000000                  0.032926                 -0.339622                  0.542999                 -0.037382                  0.042951                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000
      test                   trained_dqn_greedy          1519                   0.012219                     0.012849                          0.012219                             0.000630                     0.000295                  0.100103                 -0.676135                  1.074775                 -0.098936                  0.143144                          0.407152                            0.290974                     0.407152                       0.290974           15.356814                   9.0                        0.172482                         1.0       0.907834                    0.179724             6.205221                    3.0                          0.493655
      test trained_dqn_thresholded_margin_0p001          1519                   0.013463                     0.014065                          0.013463                             0.000602                     0.000000                  0.103497                 -0.676135                  1.074775                 -0.101389                  0.156775                          0.408369                            0.291016                     0.408369                       0.291016           16.391705                  10.0                        0.184332                         1.0       0.895984                    0.161290             6.872153                    3.0                          0.497061
      test trained_dqn_thresholded_margin_0p005          1519                   0.017923                     0.018404                          0.017923                             0.000481                     0.000589                  0.124504                 -0.657332                  1.594465                 -0.116717                  0.184829                          0.412707                            0.294511                     0.412707                       0.294511           20.437130                  12.0                        0.223173                         1.0       0.870968                    0.129032             9.275888                    5.0                          0.526266
      test trained_dqn_thresholded_margin_0p010          1519                   0.024854                     0.025203                          0.024854                             0.000349                     0.003865                  0.138809                 -0.627232                  1.594465                 -0.131440                  0.221073                          0.419506                            0.300613                     0.419506                       0.300613           27.312047                  17.0                        0.278473                         1.0       0.831468                    0.095458            13.829770                    7.0                          0.550475
      test trained_dqn_thresholded_margin_0p015          1519                   0.031891                     0.032142                          0.031891                             0.000251                     0.006322                  0.163361                 -0.794519                  1.594465                 -0.155627                  0.278852                          0.426445                            0.304249                     0.426445                       0.304249           36.034891                  24.0                        0.346280                         1.0       0.796577                    0.067149            19.592562                   10.0                          0.569835
