Reward Baseline Evaluation Summary
reward_version: C_lite_v2_after_tax_value_change_minus_transaction_and_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v2_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v2_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                          policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_reward_C_lite_v2  mean_episode_total_transaction_penalty  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed  average_days_to_first_sale  median_days_to_first_sale  average_steps_to_first_sale  pct_episodes_with_first_sale_before_tax_transition  pct_episodes_sold_before_tax_transition  mean_pct_position_sold_short_term  mean_pct_position_sold_long_term  mean_effective_tax_rate  mean_total_tax_paid  mean_transaction_penalty  mean_cooldown_penalty  mean_num_discretionary_sales  mean_num_cooldown_penalized_sales  mean_excess_value_vs_sell_immediately  mean_excess_value_vs_hold_to_terminal
      test                     hold_to_terminal          1519                   0.110042                     0.110042                          0.110042                             0.110042                                0.000000                             0.000000                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          0.000000                 0.000000             0.057564                  0.000000               0.000000                      0.000000                           0.000000                               0.110042                               0.000000
      test                        random_policy          1519                   0.000487                     0.002286                          0.001455                             0.000487                                0.000968                             0.000830                    -0.001000                  0.029923                 -0.249235                  0.636128                 -0.027291                  0.031458                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467                    0.795260             0.252828                    0.0                          0.609780                    0.363273                        0.0                     0.252828                                            0.971034                                 0.971034                           0.956715                          0.011521                 0.188218             0.090640                  0.000968               0.000830                      1.897959                           0.908492                               0.002286                              -0.107756
      test                  sell_half_then_hold          1519                   0.054521                     0.055021                          0.055021                             0.054521                                0.000500                             0.000000                     0.031576                  0.167479                 -0.383975                  2.360032                 -0.118674                  0.268256                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.488808                          0.011192                 0.189883             0.074619                  0.000500               0.000000                      1.000000                           0.000000                               0.055021                              -0.055021
      test                     sell_immediately          1519                  -0.001000                     0.000000                          0.000000                            -0.001000                                0.001000                             0.000000                    -0.001000                  0.000000                 -0.001000                 -0.001000                 -0.001000                 -0.001000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.977617                          0.022383                 0.189883             0.091674                  0.001000               0.000000                      1.000000                           0.000000                               0.000000                              -0.110042
      test              sell_quarters_over_time          1519                   0.000387                     0.002971                          0.001340                             0.000387                                0.000953                             0.001631                    -0.000250                  0.032958                 -0.339872                  0.541999                 -0.038382                  0.041951                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.947663                          0.005596                 0.189883             0.090132                  0.000953               0.001631                      3.813035                           2.813035                               0.002971                              -0.107072
      test                   trained_dqn_greedy          1519                   0.012670                     0.014261                          0.013520                             0.012670                                0.000850                             0.000742                     0.002948                  0.085866                 -0.557814                  1.224268                 -0.085793                  0.125958                          0.408565                            0.300020                     0.408565                       0.300020           14.340355                  12.0                        0.206715                         1.0       0.909151                    0.211323             4.268646                    3.0                          0.403512                    6.281680                        4.0                     4.268646                                            0.901909                                 0.901909                           0.845951                          0.004115                 0.173814             0.085379                  0.000850               0.000742                      2.341014                           1.281106                               0.014261                              -0.095781
      test trained_dqn_thresholded_margin_0p001          1519                   0.012817                     0.014401                          0.013665                             0.012817                                0.000848                             0.000736                     0.003017                  0.085984                 -0.557814                  1.224268                 -0.085793                  0.125958                          0.408704                            0.300105                     0.408704                       0.300105           14.487163                  12.0                        0.207373                         1.0       0.908492                    0.209348             4.318841                    3.0                          0.402899                    6.351449                        4.0                     4.318841                                            0.901251                                 0.901251                           0.844141                          0.004115                 0.173687             0.085339                  0.000848               0.000736                      2.339039                           1.274523                               0.014401                              -0.095641
      test trained_dqn_thresholded_margin_0p005          1519                   0.013341                     0.014887                          0.014183                             0.013341                                0.000842                             0.000704                     0.003207                  0.088072                 -0.557814                  1.224268                 -0.087982                  0.132975                          0.409190                            0.300318                     0.409190                       0.300318           15.250823                  13.0                        0.215273                         1.0       0.903226                    0.196840             4.652332                    3.0                          0.405248                    6.835277                        4.0                     4.652332                                            0.896643                                 0.896643                           0.838051                          0.003950                 0.172736             0.085034                  0.000842               0.000704                      2.312047                           1.231073                               0.014887                              -0.095155
      test trained_dqn_thresholded_margin_0p010          1519                   0.015212                     0.016718                          0.016043                             0.015212                                0.000831                             0.000675                     0.004419                  0.093749                 -0.557814                  1.224268                 -0.090592                  0.136315                          0.411022                            0.300790                     0.411022                       0.300790           16.028966                  13.0                        0.226465                         1.0       0.893351                    0.180382             4.974945                    3.0                          0.401621                    7.291820                        5.0                     4.974945                                            0.887426                                 0.887426                           0.827847                          0.003292                 0.170900             0.084457                  0.000831               0.000675                      2.277814                           1.183673                               0.016718                              -0.093324
      test trained_dqn_thresholded_margin_0p015          1519                   0.016352                     0.017815                          0.017172                             0.016352                                0.000820                             0.000643                     0.005333                  0.098499                 -0.557814                  1.588848                 -0.090902                  0.139654                          0.412118                            0.302788                     0.412118                       0.302788           16.926267                  14.0                        0.237656                         1.0       0.881501                    0.163265             5.343540                    3.0                          0.399739                    7.817774                        5.0                     5.343540                                            0.878209                                 0.878209                           0.818137                          0.002140                 0.168863             0.083988                  0.000820               0.000643                      2.237656                           1.131666                               0.017815                              -0.092227
      test trained_dqn_thresholded_margin_0p020          1519                   0.017759                     0.019171                          0.018569                             0.017759                                0.000810                             0.000602                     0.005904                  0.100552                 -0.636383                  1.588848                 -0.093208                  0.145590                          0.413474                            0.304967                     0.413474                       0.304967           17.907176                  15.0                        0.251481                         1.0       0.874259                    0.157340             5.685994                    3.0                          0.400602                    8.312500                        5.0                     5.685994                                            0.871626                                 0.871626                           0.808262                          0.001975                 0.167533             0.083601                  0.000810               0.000602                      2.205398                           1.080316                               0.019171                              -0.090871
validation                     hold_to_terminal          1517                   0.090020                     0.090020                          0.090020                             0.090020                                0.000000                             0.000000                     0.050848                  0.331267                 -1.167808                  3.724793                 -0.285819                  0.571092                          0.513235                            0.384871                     0.513235                       0.384871          102.146341                  87.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          0.000000                 0.000000             0.058876                  0.000000               0.000000                      0.000000                           0.000000                               0.090020                               0.000000
validation                        random_policy          1517                   0.000037                     0.001811                          0.001011                             0.000037                                0.000974                             0.000800                    -0.001000                  0.028955                 -0.567583                  0.235099                 -0.031012                  0.034576                          0.425027                            0.279134                     0.425027                       0.279134            2.384970                   2.0                        0.045485                         1.0       0.991430                    0.793013             0.239362                    0.0                          0.627327                    0.348404                        0.0                     0.239362                                            0.988794                                 0.988794                           0.972643                          0.001648                 0.190018             0.098644                  0.000974               0.000800                      1.897165                           0.905735                               0.001811                              -0.088209
validation                  sell_half_then_hold          1517                   0.044510                     0.045010                          0.045010                             0.044510                                0.000500                             0.000000                     0.024924                  0.165634                 -0.584404                  1.861896                 -0.143409                  0.285046                          0.468225                            0.347694                     0.468225                       0.347694          102.146341                  87.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.498352                          0.001648                 0.191603             0.079619                  0.000500               0.000000                      1.000000                           0.000000                               0.045010                              -0.045010
validation                     sell_immediately          1517                  -0.001000                     0.000000                          0.000000                            -0.001000                                0.001000                             0.000000                    -0.001000                  0.000000                 -0.001000                 -0.001000                 -0.001000                 -0.001000                          0.423216                            0.274078                     0.423216                       0.274078            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.996704                          0.003296                 0.191603             0.100362                  0.001000               0.000000                      1.000000                           0.000000                               0.000000                              -0.090020
validation              sell_quarters_over_time          1517                  -0.000726                     0.001843                          0.000223                            -0.000726                                0.000949                             0.001620                    -0.001869                  0.040775                 -0.786903                  0.233182                 -0.040567                  0.049050                          0.425059                            0.281888                     0.425059                       0.281888            3.797627                   4.0                        0.088991                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000                    0.000000                        0.0                     0.000000                                            0.996704                                 0.996704                           0.948583                          0.000824                 0.191603             0.096685                  0.000949               0.001620                      3.797627                           2.797627                               0.001843                              -0.088176
validation                   trained_dqn_greedy          1517                   0.011216                     0.012835                          0.012075                             0.011216                                0.000859                             0.000760                     0.003251                  0.141804                 -1.325755                  3.724793                 -0.098134                  0.136048                          0.436050                            0.293432                     0.436050                       0.293432           15.136454                  11.0                        0.184575                         1.0       0.902439                    0.206328             5.073776                    2.0                          0.410153                    7.225712                        3.0                     5.073776                                            0.901780                                 0.901780                           0.858273                          0.000330                 0.173119             0.089499                  0.000859               0.000760                      2.321688                           1.247858                               0.012835                              -0.077185
validation trained_dqn_thresholded_margin_0p001          1517                   0.010996                     0.012601                          0.011853                             0.010996                                0.000857                             0.000749                     0.003615                  0.142436                 -1.325755                  3.724793                 -0.100552                  0.133704                          0.435817                            0.292970                     0.435817                       0.292970           15.391562                  12.0                        0.185234                         1.0       0.899143                    0.203691             5.260264                    2.0                          0.411290                    7.500733                        4.0                     5.260264                                            0.898484                                 0.898484                           0.856460                          0.000330                 0.172486             0.088204                  0.000857               0.000749                      2.310481                           1.234674                               0.012601                              -0.077418
validation trained_dqn_thresholded_margin_0p005          1517                   0.011135                     0.012698                          0.011987                             0.011135                                0.000851                             0.000712                     0.003306                  0.144971                 -1.325755                  3.724793                 -0.107829                  0.138599                          0.435914                            0.293519                     0.435914                       0.293519           16.303230                  13.0                        0.189848                         1.0       0.894529                    0.186552             5.836404                    3.0                          0.418755                    8.331614                        4.0                     5.836404                                            0.893869                                 0.893869                           0.851022                          0.000330                 0.171601             0.087762                  0.000851               0.000712                      2.281477                           1.194463                               0.012698                              -0.077321
validation trained_dqn_thresholded_margin_0p010          1517                   0.010237                     0.011725                          0.011073                             0.010237                                0.000836                             0.000652                     0.003985                  0.147816                 -1.373253                  3.724793                 -0.122531                  0.145369                          0.434941                            0.294047                     0.434941                       0.294047           17.767304                  14.0                        0.210283                         1.0       0.883982                    0.169413             6.522744                    3.0                          0.420209                    9.313199                        5.0                     6.522744                                            0.883322                                 0.883322                           0.835695                          0.000330                 0.169577             0.086506                  0.000836               0.000652                      2.238629                           1.127884                               0.011725                              -0.078294
validation trained_dqn_thresholded_margin_0p015          1517                   0.010832                     0.012265                          0.011653                             0.010832                                0.000821                             0.000611                     0.004161                  0.150402                 -1.373253                  3.724793                 -0.127107                  0.149969                          0.435481                            0.294438                     0.435481                       0.294438           19.091628                  15.0                        0.228082                         1.0       0.874753                    0.154252             7.299925                    4.0                          0.421251                   10.441598                        6.0                     7.299925                                            0.874094                                 0.874094                           0.820864                          0.000330                 0.167806             0.085576                  0.000821               0.000611                      2.199736                           1.084377                               0.012265                              -0.077755
validation trained_dqn_thresholded_margin_0p020          1517                   0.011231                     0.012613                          0.012036                             0.011231                                0.000806                             0.000576                     0.004416                  0.153616                 -1.577114                  3.724793                 -0.131327                  0.155192                          0.435828                            0.294693                     0.435828                       0.294693           20.412657                  16.0                        0.244562                         1.0       0.860910                    0.139750             8.134763                    4.0                          0.421133                   11.633231                        7.0                     8.134763                                            0.860250                                 0.860250                           0.805208                          0.000330                 0.165149             0.084607                  0.000806               0.000576                      2.160844                           1.036256                               0.012613                              -0.077407
