Reward Baseline Evaluation Summary
reward_version: C_lite_after_tax_value_change_minus_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v4_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v4_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                          policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_reward_C_lite_v2  mean_episode_total_transaction_penalty  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed  average_days_to_first_sale  median_days_to_first_sale  average_steps_to_first_sale  pct_episodes_with_first_sale_before_tax_transition  pct_episodes_sold_before_tax_transition  mean_pct_position_sold_short_term  mean_pct_position_sold_long_term  mean_effective_tax_rate  mean_total_tax_paid  mean_transaction_penalty  mean_cooldown_penalty  mean_num_discretionary_sales  mean_num_cooldown_penalized_sales  mean_excess_value_vs_sell_immediately  mean_excess_value_vs_hold_to_terminal
      test                     hold_to_terminal          1519                   0.110042                     0.110042                          0.110042                             0.110042                                     0.0                             0.000000                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          1.000000                 0.099052             0.057564                       0.0               0.000000                      0.000000                           0.000000                               0.110042                               0.000000
      test                        random_policy          1519                   0.001455                     0.002286                          0.001455                             0.001455                                     0.0                             0.000830                     0.000000                  0.029890                 -0.248235                  0.637128                 -0.026291                  0.032458                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467                    0.795260             0.252828                    0.0                          0.609780                    0.363273                        0.0                     0.252828                                            0.971034                                 0.971034                           0.956715                          0.043285                 0.188006             0.090640                       0.0               0.000830                      1.897959                           0.908492                               0.002286                              -0.107756
      test                  sell_half_then_hold          1519                   0.055021                     0.055021                          0.055021                             0.055021                                     0.0                             0.000000                     0.032076                  0.167479                 -0.383475                  2.360532                 -0.118174                  0.268756                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.488808                          0.511192                 0.145567             0.074619                       0.0               0.000000                      1.000000                           0.000000                               0.055021                              -0.055021
      test                     sell_immediately          1519                   0.000000                     0.000000                          0.000000                             0.000000                                     0.0                             0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.977617                          0.022383                 0.189883             0.091674                       0.0               0.000000                      1.000000                           0.000000                               0.000000                              -0.110042
      test              sell_quarters_over_time          1519                   0.001340                     0.002971                          0.001340                             0.001340                                     0.0                             0.001631                     0.000000                  0.032926                 -0.339622                  0.542999                 -0.037382                  0.042951                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.947663                          0.052337                 0.187185             0.090132                       0.0               0.001631                      3.813035                           2.813035                               0.002971                              -0.107072
      test                   trained_dqn_greedy          1519                   0.013674                     0.014480                          0.013674                             0.013674                                     0.0                             0.000806                     0.009272                  0.082471                 -0.888061                  0.944280                 -0.084427                  0.120810                          0.408784                            0.300968                     0.408784                       0.300968           18.755102                  17.0                        0.219882                         1.0       0.905859                    0.257406             4.368459                    2.0                          0.314317                    6.324855                        3.0                     4.368459                                            0.902567                                 0.902567                           0.838051                          0.161949                 0.177359             0.085074                       0.0               0.000806                      2.862409                           1.691903                               0.014480                              -0.095562
      test trained_dqn_thresholded_margin_0p001          1519                   0.014575                     0.015364                          0.014575                             0.014575                                     0.0                             0.000789                     0.009558                  0.083480                 -0.888061                  0.944280                 -0.084582                  0.123909                          0.409668                            0.301295                     0.409668                       0.301295           19.130349                  17.0                        0.225806                         1.0       0.903226                    0.252798             4.466472                    2.0                          0.315598                    6.465743                        3.0                     4.466472                                            0.899934                                 0.899934                           0.834266                          0.165734                 0.177012             0.084895                       0.0               0.000789                      2.847926                           1.671494                               0.015364                              -0.094678
      test trained_dqn_thresholded_margin_0p005          1519                   0.016216                     0.016951                          0.016216                             0.016216                                     0.0                             0.000735                     0.010671                  0.086402                 -0.888061                  0.944280                 -0.089441                  0.129664                          0.411255                            0.302550                     0.411255                       0.302550           20.843318                  18.0                        0.242265                         1.0       0.894009                    0.239631             5.159057                    3.0                          0.314801                    7.463181                        4.0                     5.159057                                            0.890718                                 0.890718                           0.820441                          0.179559                 0.175781             0.084426                       0.0               0.000735                      2.805793                           1.605003                               0.016951                              -0.093091
      test trained_dqn_thresholded_margin_0p010          1519                   0.018446                     0.019128                          0.018446                             0.018446                                     0.0                             0.000682                     0.011650                  0.094923                 -0.888061                  1.185003                 -0.092771                  0.139747                          0.413432                            0.304063                     0.413432                       0.304063           22.753785                  20.0                        0.260039                         1.0       0.885451                    0.222515             6.020818                    3.0                          0.314312                    8.730855                        4.0                     6.020818                                            0.882159                                 0.882159                           0.807604                          0.192396                 0.174618             0.084090                       0.0               0.000682                      2.746544                           1.511521                               0.019128                              -0.090914
      test trained_dqn_thresholded_margin_0p015          1519                   0.020613                     0.021252                          0.020613                             0.020613                                     0.0                             0.000639                     0.013647                  0.097778                 -0.888061                  1.185003                 -0.093115                  0.154369                          0.415556                            0.307189                     0.415556                       0.307189           24.615537                  21.0                        0.272548                         1.0       0.872284                    0.206057             6.949434                    4.0                          0.314717                   10.084528                        5.0                     6.949434                                            0.870309                                 0.870309                           0.794931                          0.205069                 0.173470             0.083785                       0.0               0.000639                      2.687294                           1.438446                               0.021252                              -0.088790
