Reward Baseline Evaluation Summary
reward_version: C_lite_after_tax_value_change_minus_cooldown_penalty
tax_profile_name: mass_affluent_individual
resolved_tax_profile: {'profile_name': 'mass_affluent_individual', 'short_term_rate': 0.1919, 'long_term_rate': 0.1018, 'niit_rate': 0.0, 'apply_niit': False}
model_path: runs/train_reward_c_lite_v5_full/best_validation_model.pt
episode_splits_path: runs/train_reward_c_lite_v5_full/episode_splits.csv
num_validation_episodes: 1517
num_test_episodes: 1519
policies_evaluated: trained_dqn_greedy, trained_dqn_thresholded_margin_0p001, trained_dqn_thresholded_margin_0p005, trained_dqn_thresholded_margin_0p010, trained_dqn_thresholded_margin_0p015, trained_dqn_thresholded_margin_0p020, hold_to_terminal, sell_immediately, sell_half_then_hold, sell_quarters_over_time, random_policy, trained_dqn_first_sale_margin_0p020_normal_0p020, trained_dqn_first_sale_margin_0p030_normal_0p020, trained_dqn_first_sale_margin_0p040_normal_0p020, trained_dqn_first_sale_margin_0p050_normal_0p020, trained_dqn_first_sale_margin_0p060_normal_0p020, trained_dqn_first_sale_margin_0p070_normal_0p020, trained_dqn_first_sale_margin_0p080_normal_0p020, trained_dqn_first_sale_margin_0p090_normal_0p020
best_validation_policy_by_mean_final_after_tax_total_value: hold_to_terminal
best_test_policy_by_mean_final_after_tax_total_value: hold_to_terminal
summary_table:
     split                                      policy_name  num_episodes  mean_episode_total_reward  mean_episode_total_reward_A  mean_episode_total_reward_C_lite  mean_episode_total_reward_C_lite_v2  mean_episode_total_transaction_penalty  mean_episode_total_cooldown_penalty  median_episode_total_reward  std_episode_total_reward  min_episode_total_reward  max_episode_total_reward  p05_episode_total_reward  p95_episode_total_reward  mean_final_after_tax_total_value  median_final_after_tax_total_value  mean_realized_after_tax_pnl  median_realized_after_tax_pnl  mean_episode_steps  median_episode_steps  terminal_liquidation_frequency  full_liquidation_frequency  cut_frequency  sell_immediately_frequency  mean_first_cut_step  median_first_cut_step  mean_first_cut_fraction_executed  average_days_to_first_sale  median_days_to_first_sale  average_steps_to_first_sale  pct_episodes_with_first_sale_before_tax_transition  pct_episodes_sold_before_tax_transition  mean_pct_position_sold_short_term  mean_pct_position_sold_long_term  mean_effective_tax_rate  mean_total_tax_paid  mean_transaction_penalty  mean_cooldown_penalty  mean_num_discretionary_sales  mean_num_cooldown_penalized_sales  mean_excess_value_vs_sell_immediately  mean_excess_value_vs_hold_to_terminal
      test                                 hold_to_terminal          1519                   0.110042                     0.110042                          0.110042                             0.110042                                     0.0                             0.000000                     0.064151                  0.334958                 -0.766950                  4.721063                 -0.236349                  0.537511                          0.504345                            0.405272                     0.504345                       0.405272           82.314681                  67.0                        1.000000                         1.0       0.000000                    0.000000                  NaN                    NaN                               NaN                         NaN                        NaN                          NaN                                            0.000000                                 0.000000                           0.000000                          1.000000                 0.099052             0.057564                       0.0               0.000000                      0.000000                           0.000000                               0.110042                               0.000000
      test                                    random_policy          1519                   0.001455                     0.002286                          0.001455                             0.001455                                     0.0                             0.000830                     0.000000                  0.029890                 -0.248235                  0.637128                 -0.026291                  0.032458                          0.396589                            0.280413                     0.396589                       0.280413            2.395655                   2.0                        0.052666                         1.0       0.989467                    0.795260             0.252828                    0.0                          0.609780                    0.363273                        0.0                     0.252828                                            0.971034                                 0.971034                           0.956715                          0.043285                 0.188006             0.090640                       0.0               0.000830                      1.897959                           0.908492                               0.002286                              -0.107756
      test                              sell_half_then_hold          1519                   0.055021                     0.055021                          0.055021                             0.055021                                     0.0                             0.000000                     0.032076                  0.167479                 -0.383475                  2.360532                 -0.118174                  0.268756                          0.449324                            0.350763                     0.449324                       0.350763           82.314681                  67.0                        1.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.500000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.488808                          0.511192                 0.145567             0.074619                       0.0               0.000000                      1.000000                           0.000000                               0.055021                              -0.055021
      test                                 sell_immediately          1519                   0.000000                     0.000000                          0.000000                             0.000000                                     0.0                             0.000000                     0.000000                  0.000000                  0.000000                  0.000000                  0.000000                  0.000000                          0.394303                            0.278295                     0.394303                       0.278295            1.000000                   1.0                        0.000000                         1.0       1.000000                    1.000000             0.000000                    0.0                          1.000000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.977617                          0.022383                 0.189883             0.091674                       0.0               0.000000                      1.000000                           0.000000                               0.000000                              -0.110042
      test                          sell_quarters_over_time          1519                   0.001340                     0.002971                          0.001340                             0.001340                                     0.0                             0.001631                     0.000000                  0.032926                 -0.339622                  0.542999                 -0.037382                  0.042951                          0.397274                            0.283519                     0.397274                       0.283519            3.813035                   4.0                        0.076366                         1.0       1.000000                    1.000000             0.000000                    0.0                          0.250000                    0.000000                        0.0                     0.000000                                            0.977617                                 0.977617                           0.947663                          0.052337                 0.187185             0.090132                       0.0               0.001631                      3.813035                           2.813035                               0.002971                              -0.107072
      test trained_dqn_first_sale_margin_0p020_normal_0p020          1519                   0.039867                     0.040099                          0.039867                             0.039867                                     0.0                             0.000231                     0.017289                  0.196037                 -0.755444                  3.216626                 -0.176988                  0.289485                          0.434402                            0.330401                     0.434402                       0.330401           44.861093                  29.0                        0.359447                         1.0       0.824885                    0.081633            28.221069                   12.0                          0.487630                   40.733440                       17.0                    28.221069                                            0.822251                                 0.822251                           0.739631                          0.260369                 0.167730             0.085319                       0.0               0.000231                      1.662278                           0.468071                               0.040099                              -0.069943
      test trained_dqn_first_sale_margin_0p030_normal_0p020          1519                   0.044864                     0.045086                          0.044864                             0.044864                                     0.0                             0.000222                     0.020985                  0.212045                 -0.755444                  3.216626                 -0.198280                  0.323207                          0.439389                            0.338644                     0.439389                       0.338644           47.496379                  32.0                        0.412772                         1.0       0.755760                    0.056616            34.768293                   19.0                          0.503920                   50.277003                       28.0                    34.768293                                            0.753127                                 0.753127                           0.681698                          0.318302                 0.162049             0.083067                       0.0               0.000222                      1.493746                           0.464779                               0.045086                              -0.064956
      test trained_dqn_first_sale_margin_0p040_normal_0p020          1519                   0.050220                     0.050426                          0.050220                             0.050220                                     0.0                             0.000206                     0.023361                  0.236759                 -0.755444                  4.398716                 -0.198287                  0.355098                          0.444729                            0.342273                     0.444729                       0.342273           50.011850                  36.0                        0.471363                         1.0       0.670178                    0.038183            37.907662                   24.0                          0.517682                   54.926326                       36.0                    37.907662                                            0.668203                                 0.668203                           0.610270                          0.389730                 0.155422             0.079614                       0.0               0.000206                      1.328506                           0.447663                               0.050426                              -0.059617
      test trained_dqn_first_sale_margin_0p050_normal_0p020          1519                   0.054702                     0.054896                          0.054702                             0.054702                                     0.0                             0.000194                     0.027116                  0.246598                 -0.849274                  4.398716                 -0.199157                  0.398024                          0.449200                            0.348601                     0.449200                       0.348601           52.163265                  40.0                        0.522054                         1.0       0.596445                    0.029625            38.253863                   28.0                          0.507450                   55.597130                       41.0                    38.253863                                            0.594470                                 0.594470                           0.546248                          0.453752                 0.149215             0.076787                       0.0               0.000194                      1.197498                           0.421988                               0.054896                              -0.055146
      test trained_dqn_first_sale_margin_0p060_normal_0p020          1519                   0.059678                     0.059849                          0.059678                             0.059678                                     0.0                             0.000171                     0.029706                  0.254377                 -0.849274                  4.398716                 -0.204116                  0.408603                          0.454152                            0.353494                     0.454152                       0.353494           54.042133                  43.0                        0.570770                         1.0       0.522712                    0.018433            39.404282                   32.0                          0.512594                   57.416877                       46.0                    39.404282                                            0.522712                                 0.522712                           0.482719                          0.517281                 0.142700             0.073961                       0.0               0.000171                      1.052008                           0.383147                               0.059849                              -0.050194
