episode_id,split
AAL_2010-01-04,train
AAON_2010-01-06,train
AAPL_2010-02-04,train
AA_2010-07-02,train
ACN_2010-06-08,train
ADC_2010-01-28,train
ADI_2010-02-04,train
ADSK_2010-02-04,train
AES_2010-07-06,train
AFG_2010-02-08,train
AFL_2010-06-07,train
AGCO_2010-06-07,train
AIG_2010-02-08,train
AIT_2010-02-08,train
AIZ_2010-02-11,train
AJG_2010-01-15,train
AKAM_2010-01-29,train
ALB_2010-02-08,train
ALGN_2010-06-09,train
ALK_2010-01-29,train
ALV_2010-01-28,train
AMAT_2010-08-31,train
AMD_2010-08-31,train
AME_2010-02-04,train
AMG_2010-07-01,train
AMKR_2010-08-31,train
AMP_2010-07-01,train
AMT_2010-05-07,train
AMZN_2010-06-29,train
ANF_2010-01-22,train
AN_2010-02-05,train
AON_2010-07-12,train
AOS_2010-02-04,train
APA_2010-07-16,train
APD_2010-06-30,train
APH_2010-02-04,train
ARE_2010-02-11,train
ARWR_2010-03-01,train
ARW_2010-07-06,train
ASB_2010-01-11,train
ASGN_2010-08-30,train
ASH_2010-01-22,train
ASML_2010-08-31,train
ATI_2010-02-04,train
ATR_2010-02-05,train
AVB_2010-02-10,train
AVNT_2010-02-08,train
AVT_2010-08-26,train
AVY_2010-03-04,train
AXON_2010-08-26,train
AYI_2010-02-08,train
AZO_2010-01-14,train
A_2010-08-31,train
BALL_2010-05-26,train
BBWI_2010-01-22,train
BCO_2010-07-06,train
BC_2010-02-05,train
BDC_2010-02-24,train
BEN_2010-07-02,train
BF-B_2010-02-04,train
BG_2010-07-29,train
BIDU_2010-01-12,train
BIIB_2010-06-11,train
BKNG_2010-06-09,train
BKR_2010-06-01,train
BLDR_2010-12-01,train
BLK_2010-08-26,train
BMRN_2010-07-06,train
BP_2010-06-25,train
BRKR_2010-07-19,train
BRO_2010-02-18,train
BSX_2010-09-01,train
BWA_2010-01-04,train
BXP_2010-02-10,train
BX_2010-07-06,train
BYD_2010-09-23,train
CACI_2010-08-16,train
CAR_2010-07-06,train
CASY_2010-02-08,train
CAT_2010-02-08,train
CBRE_2010-02-08,train
CBT_2010-07-01,train
CB_2010-01-06,train
CCK_2010-05-26,train
CCL_2010-06-29,train
CDNS_2010-02-09,train
CF_2010-06-08,train
CGNX_2010-01-29,train
CHDN_2010-06-07,train
CHE_2010-01-28,train
CHH_2010-07-06,train
CHRW_2010-02-10,train
CIEN_2010-01-04,train
CINF_2010-02-08,train
CLF_2010-01-29,train
CLH_2010-02-24,train
CMCSA_2010-02-08,train
CMC_2010-08-26,train
CME_2010-08-20,train
CMG_2010-01-07,train
CMI_2010-01-29,train
CMS_2010-06-04,train
CNC_2010-02-26,train
CNO_2010-02-08,train
CNX_2010-08-26,train
COHR_2010-02-04,train
COLB_2010-08-11,train
COLM_2010-01-05,train
COO_2010-05-21,train
COP_2010-02-08,train
COR_2010-01-07,train
COST_2010-07-21,train
CPT_2010-02-09,train
CRH_2010-08-24,train
CRM_2010-02-05,train
CROX_2010-01-04,train
CRS_2010-02-08,train
CRUS_2010-02-05,train
CSGP_2010-07-06,train
CSL_2010-08-31,train
CSX_2010-02-04,train
CTRA_2010-09-17,train
CTSH_2010-02-04,train
