split,policy_A,policy_B,comparison_label,n_paired_episodes,mean_difference,mean_difference_ci_low,mean_difference_ci_high,median_difference,median_difference_ci_low,median_difference_ci_high,win_rate,win_rate_ci_low,win_rate_ci_high,tie_rate,loss_rate,wilcoxon_p_value,statistical_interpretation
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,hold_to_terminal,trained_dqn_first_sale_margin_0p070_normal_0p020 vs hold_to_terminal,1517,-0.04124416962900927,-0.050223706024649914,-0.03293988847316089,0.0,0.0,0.0,0.13974950560316415,0.12325313117996059,0.15754779169413316,0.5293342122610415,0.3309162821357943,3.529758387055838e-29,Significantly negative
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_immediately,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_immediately,1517,0.0487753436756282,0.03510339587848066,0.06287975660404553,0.03293053953548136,0.026743329772772353,0.03927103319038938,0.6051417270929466,0.5807514831905076,0.6295319709953856,0.0032959789057350032,0.39156229400131837,1.7728843826539572e-14,Significantly positive
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_half_then_hold,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_half_then_hold,1517,0.003765587023309464,-0.004281883847373331,0.012105290982901973,0.0090672622729015,0.0043199109469859165,0.012851581572773663,0.5418589321028345,0.5168094924192486,0.5669083717864206,0.003955174686882004,0.45418589321028346,0.23566873182247416,Positive but not significant
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_quarters_over_time,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_quarters_over_time,1517,0.046932098576727733,0.033746796136098885,0.061308857791497105,0.02328160921549499,0.018018825241282066,0.030774724967846723,0.6077785102175346,0.5827290705339486,0.6321687541199736,0.0032959789057350032,0.3889255108767304,7.444632478196382e-14,Significantly positive
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,random_policy,trained_dqn_first_sale_margin_0p070_normal_0p020 vs random_policy,1517,0.046964449780455976,0.033377699053048125,0.06115241375620602,0.028093158313991284,0.0219302912826565,0.03330295701880748,0.5978905735003296,0.5728411338167436,0.6222808174027686,0.011865524060646011,0.3902439024390244,2.0436904056002073e-13,Significantly positive
validation,trained_dqn_first_sale_margin_0p090_normal_0p020,hold_to_terminal,sensitivity_0p090_vs_hold_to_terminal,1517,-0.02182788412035423,-0.028489999293189808,-0.015481257410408409,0.0,0.0,0.0,0.07778510217534608,0.06460118655240607,0.09162821357943308,0.7475280158206987,0.17468688200395519,1.1133386300119825e-14,Significantly negative
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,trained_dqn_first_sale_margin_0p090_normal_0p020,preferred_0p070_vs_sensitivity_0p090,1517,-0.019416285508655044,-0.02463990953429002,-0.014327114042928035,0.0,0.0,0.0,0.08899143045484509,0.07448912326961107,0.1034937376400791,0.7112722478576137,0.1997363216875412,2.5600847018740806e-17,Significantly negative
test,trained_dqn_first_sale_margin_0p070_normal_0p020,hold_to_terminal,trained_dqn_first_sale_margin_0p070_normal_0p020 vs hold_to_terminal,1519,-0.04422808622412871,-0.05443163529260533,-0.035033538618100685,0.0,0.0,0.0,0.12047399605003292,0.10401579986833442,0.1369321922317314,0.5339038841342989,0.3456221198156682,3.162949246587907e-37,Significantly negative
test,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_immediately,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_immediately,1519,0.0658141282208071,0.05305848451158246,0.07931607979343268,0.03487251908227082,0.028398965956284217,0.04006494493333168,0.6300197498354181,0.6056616194865043,0.6537195523370638,0.02238314680710994,0.347597103357472,3.849260491351248e-33,Significantly positive
test,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_half_then_hold,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_half_then_hold,1519,0.010793020998339188,0.0029303602127279172,0.01887514913422806,0.008167262888711613,0.0035211332066815704,0.013306685849516608,0.5418038183015141,0.5174456879526004,0.5668202764976958,0.02304147465437788,0.43515470704410797,0.0028324428269375884,Significantly positive
test,trained_dqn_first_sale_margin_0p070_normal_0p020,sell_quarters_over_time,trained_dqn_first_sale_margin_0p070_normal_0p020 vs sell_quarters_over_time,1519,0.06284352939557743,0.05042723766817385,0.07645438234566188,0.02665396536565917,0.022228474351230265,0.032450575273375526,0.6398946675444371,0.6155365371955234,0.663594470046083,0.02238314680710994,0.3377221856484529,5.9936304307756004e-33,Significantly positive
test,trained_dqn_first_sale_margin_0p070_normal_0p020,random_policy,trained_dqn_first_sale_margin_0p070_normal_0p020 vs random_policy,1519,0.0635282589071574,0.05114188780210361,0.07730561981026753,0.02883913433525498,0.02416074665731538,0.034847773652777136,0.6254114549045424,0.6010533245556287,0.6497695852534562,0.028966425279789335,0.3456221198156682,1.2961693501625027e-31,Significantly positive
test,trained_dqn_first_sale_margin_0p090_normal_0p020,hold_to_terminal,sensitivity_0p090_vs_hold_to_terminal,1519,-0.035770657853391716,-0.04533509257581172,-0.027380891033274343,0.0,0.0,0.0,0.09414088215931533,0.07965766951942067,0.10928242264647794,0.6379196840026333,0.26793943383805136,1.6928198265267306e-30,Significantly negative
test,trained_dqn_first_sale_margin_0p070_normal_0p020,trained_dqn_first_sale_margin_0p090_normal_0p020,preferred_0p070_vs_sensitivity_0p090,1519,-0.008457428370737003,-0.012117596608510129,-0.004864269773498437,0.0,0.0,0.0,0.06583278472679395,0.05332455562870309,0.07834101382488479,0.8084265964450297,0.12574061882817644,4.848389463299277e-09,Significantly negative
