split,scenario,rank,episode_id,ticker,episode_start_date,tax_transition_date,terminal_date,preferred_final_after_tax_value,hold_to_terminal_final_after_tax_value,sell_immediately_final_after_tax_value,sell_half_then_hold_final_after_tax_value,sell_quarters_over_time_final_after_tax_value,random_policy_final_after_tax_value,optional_0p090_dqn_final_after_tax_value,dqn_minus_hold,dqn_minus_sell_immediately,dqn_minus_sell_half_then_hold,dqn_minus_sell_quarters_over_time,first_sale_day,first_sale_executed_fraction,short_term_sold_fraction,long_term_sold_fraction,terminal_liquidation_flag,no_cut_flag,discretionary_sale_flag,post_sale_drawdown,post_sale_upside,representativeness_score,preferred_path_num_points,preferred_path_unique_dates,preferred_after_tax_value_path_range
validation,dqn_sells_early_avoids_later_loss,1,OHI_2022-05-02,OHI,2022-08-03,2023-05-02,2023-05-02,0.2201226883496744,0.1397906647582826,0.2449370776437054,0.192363871200994,0.245758541555951,0.2449370776437054,0.1397906647582826,0.0803320235913918,-0.024814389294030986,0.02775881714868042,-0.025635853206276593,100.0,0.5,1.0,0.0,False,False,True,0.1825710325569112,0.0,0.03780403817266963,123,123,0.1616519290090123
validation,dqn_sells_early_avoids_later_loss,2,PII_2022-10-20,PII,2023-02-15,2023-10-20,2023-10-20,0.1335200017553065,0.0260789502030592,0.2438952861121534,0.1349871181576063,0.2346192066431327,0.2433251380828643,0.1335200017553065,0.10744105155224731,-0.11037528435684688,-0.0014671164022997951,-0.1010992048878262,99.0,0.75,1.0,0.0,False,False,True,0.47737977508472573,0.3470723379240437,0.04089229137548747,73,73,0.14547770710134839
validation,dqn_sells_early_avoids_later_loss,3,DTE_2021-11-30,DTE,2022-04-20,2022-11-30,2022-11-30,0.157682116455336,0.0914762554224329,0.2445652005418582,0.1680207279821456,0.2321369255565112,0.2445652005418582,0.0914762554224329,0.0662058610329031,-0.0868830840865222,-0.010338611526809593,-0.07445480910117519,99.0,0.25,1.0,0.0,False,False,True,0.1824290878314565,0.0653736868004342,0.047961946762904356,125,125,0.1705096483272033
validation,dqn_sells_early_avoids_later_loss,4,CPAY_2021-12-01,CPAY,2022-04-19,2022-12-01,2022-12-01,0.0904751721732814,-0.022655992681738,0.2425546693162949,0.1099493383172784,0.2317809962793263,0.2425546693162949,-0.022655992681738,0.1131311648550194,-0.1520794971430135,-0.01947416614399701,-0.14130582410604492,100.0,0.25,1.0,0.0,False,False,True,0.19932280244149747,0.08225864722322807,0.05055065864651352,79,79,0.2264193100532269
validation,dqn_sells_early_avoids_later_loss,5,BIDU_2022-03-15,BIDU,2022-03-16,2023-03-15,2023-03-15,0.2398278370658916,0.2048672496017939,0.3168127712111499,0.2608400104064719,0.298656979924724,0.2925988394316516,0.2048672496017939,0.03496058746409772,-0.07698493414525831,-0.02101217334058031,-0.058829142858832395,93.0,0.75,1.0,0.0,False,False,True,0.2502306311539624,0.18813434126568396,0.05539769652218593,68,68,0.3679905075983153
validation,dqn_sells_early_avoids_later_loss,6,V_2020-10-28,V,2021-06-11,2021-10-28,2021-10-28,0.1982992883588668,0.1500010381120422,0.246409644965822,0.1982053415389321,0.2371868037815659,0.2424602647006613,0.1500010381120422,0.048298250246824576,-0.0481103566069552,9.394681993468712e-05,-0.03888751542269911,97.0,0.75,1.0,0.0,False,False,True,0.13369555350436557,0.05311106151890166,0.057933049612474946,78,78,0.1238518670267037
validation,dqn_sells_early_avoids_later_loss,7,FOXA_2022-10-27,FOXA,2023-02-15,2023-10-27,2023-10-27,0.0904188985441364,0.0546777770546502,0.2567444281437806,0.1557111025992154,0.2464890644101972,0.2498597528560961,0.0904188985441364,0.0357411214894862,-0.16632552959964422,-0.06529220405507899,-0.1560701658660608,99.0,0.75,1.0,0.0,False,False,True,0.1878461082940217,0.13799206714142387,0.07842668630632126,73,73,0.1828644335670011
validation,dqn_sells_early_avoids_later_loss,8,ERIE_2022-04-29,ERIE,2022-08-02,2023-04-29,2023-04-28,0.4838233010118441,0.3450049854224123,0.2500916421187751,0.2975483137705937,0.2662289415558482,0.2500916421187751,0.4838233010118441,0.1388183155894318,0.23373165889306902,0.1862749872412504,0.21759435945599592,101.0,0.5,1.0,0.0,False,False,True,0.3964383637516191,0.18739268169691825,0.0802060633491799,107,107,0.3245170482862496
validation,dqn_sells_early_avoids_later_loss,9,PSN_2022-01-28,PSN,2022-07-22,2023-01-28,2023-01-27,0.4875274744141072,0.3904039891710665,0.3163072452529455,0.353355617212006,0.3301185861439559,0.3278843830749911,0.3904039891710665,0.09712348524304071,0.1712202291611617,0.13417185720210123,0.15740888827015131,112.0,0.5,1.0,0.0,False,False,True,0.22419566328751483,0.032506743154925966,0.08216202665358245,114,114,0.28814287743993927
validation,dqn_sells_early_avoids_later_loss,10,OLLI_2022-03-14,OLLI,2022-04-04,2023-03-14,2023-03-14,0.4211815680118256,0.3398020953293744,0.2433422932349463,0.2915721942821604,0.2262637551758551,0.219633898284588,0.4211815680118256,0.08137947268245121,0.1778392747768793,0.1296093737296652,0.1949178128359705,74.0,0.75,1.0,0.0,False,False,True,0.4901548462628935,0.34654756879399384,0.08437563670065783,55,55,0.34920788368428246
validation,dqn_sells_too_early_underperforms_hold,1,AMP_2022-07-14,AMP,2023-02-08,2023-07-14,2023-07-14,0.3114410058138594,0.4912256205194971,0.4804768447931582,0.4858512326563277,0.479523579076633,0.4804768447931582,0.4912256205194971,-0.17978461470563767,-0.1690358389792988,-0.17441022684246826,-0.1680825732627736,106.0,0.75,1.0,0.0,False,False,True,0.011807646609301559,0.16507961583848907,0.021969043902940237,78,78,0.27095139750099795
validation,dqn_sells_too_early_underperforms_hold,2,CLF_2022-01-27,CLF,2022-04-07,2023-01-27,2023-01-27,0.141579581961164,0.2997695157663965,0.756752556412104,0.5282610360892502,0.7299571639300939,0.7373103278757195,0.2997695157663965,-0.1581899338052325,-0.61517297445094,-0.38668145412808624,-0.5883775819689299,112.0,0.25,1.0,0.0,False,False,True,0.0,0.2880937902561189,0.03533992271175065,86,86,0.8924158885562371
validation,dqn_sells_too_early_underperforms_hold,3,CPRT_2022-06-16,CPRT,2022-12-01,2023-06-16,2023-06-16,0.4983204552324226,0.6272893137701739,0.2560005286981927,0.4416449212341833,0.2327277588152243,0.2478236598082779,0.6272893137701739,-0.12896885853775136,0.2423199265342299,0.05667553399823927,0.2655926964171983,104.0,0.25,1.0,0.0,False,False,True,0.03658308824948531,0.41000209329566406,0.036783220201454005,121,121,0.36910152465412394
validation,dqn_sells_too_early_underperforms_hold,4,CSCO_2022-10-12,CSCO,2023-02-16,2023-10-12,2023-10-12,0.2198858807039974,0.3712340728907815,0.2495580351725733,0.3103960540316774,0.2329642503517331,0.2484172375039431,0.2198858807039974,-0.15134819218678408,-0.029672154468575906,-0.09051017332768002,-0.013078369647735705,98.0,0.75,1.0,0.0,False,False,True,0.09383389877525317,0.23917825402380966,0.038213410361945095,72,72,0.1299873112828932
