split,episode_id,scenario,is_member,ranking_metric,notes
test,AAL_2024-08-07,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,AAL_2025-04-08,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,AAON_2023-12-01,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,AAPL_2024-04-19,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,AAPL_2025-04-08,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,AA_2023-10-23,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,AA_2024-02-26,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,AA_2025-04-08,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,ABBV_2023-06-28,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ABBV_2024-05-29,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ABNB_2023-05-25,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ABNB_2025-04-08,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,ABT_2023-10-12,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ABT_2024-07-18,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ACGL_2023-03-15,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,ACM_2023-10-27,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ACM_2025-04-08,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ACN_2024-06-03,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
test,ADBE_2023-02-24,dqn_behaves_like_hold_to_terminal,True,-0.0,Scenario definition satisfied by preferred DQN behavior and paired benchmark outcomes.
test,ADC_2023-10-02,dqn_behaves_like_hold_to_terminal,False,,Scenario definition not satisfied.
