split,scenario,number_of_candidate_episodes,percentage_of_split,mean_preferred_dqn_final_after_tax_value,mean_hold_to_terminal_final_after_tax_value,mean_dqn_minus_hold_difference,median_dqn_minus_hold_difference,dqn_win_rate_versus_hold,dqn_win_rate_versus_sell_immediately,dqn_win_rate_versus_sell_half_then_hold,dqn_win_rate_versus_sell_quarters_over_time,mean_first_sale_day,median_first_sale_day,mean_short_term_sold_fraction,mean_long_term_sold_fraction,mean_terminal_liquidation_frequency,mean_no_cut_frequency,mean_discretionary_sale_frequency
validation,dqn_sells_early_avoids_later_loss,195,0.12854317732366513,0.31420841054926496,0.18295051325675826,0.13125789729250673,0.09035828398628365,1.0,0.5025641025641026,0.7128205128205128,0.48717948717948717,92.34871794871795,93.0,0.967948717948718,0.03205128205128205,0.07692307692307693,0.0,1.0
validation,dqn_sells_too_early_underperforms_hold,358,0.23599208965062624,0.36359187082665684,0.5881146101785578,-0.22452273935190095,-0.16376795175507838,0.0,0.553072625698324,0.21787709497206703,0.553072625698324,113.21787709497207,104.5,0.9748603351955307,0.025139664804469275,0.05865921787709497,0.0,1.0
validation,dqn_waits_correctly_until_long_term,551,0.3632168754119974,0.6989144805981049,0.6993515789300396,-0.0004370983319347362,0.0,0.0,1.0,1.0,0.985480943738657,57.166666666666664,34.5,0.006352087114337568,0.9936479128856625,1.0,0.9891107078039928,0.010889292196007259
validation,dqn_behaves_like_hold_to_terminal,803,0.5293342122610415,0.5907516374347846,0.5907516374347846,0.0,0.0,0.0,0.6787048567870486,0.6787048567870486,0.6874221668742216,,,0.0,1.0,1.0,1.0,0.0
validation,partial_liquidation_useful,56,0.03691496374423204,0.5370523462135423,0.5805101724558661,-0.0434578262423239,-0.04284526629594851,0.19642857142857142,0.8928571428571429,0.8035714285714286,0.8928571428571429,137.75,126.0,0.5714285714285714,0.42857142857142855,1.0,0.0,1.0
validation,dqn_loses_to_all_major_benchmarks,217,0.14304548450889915,0.1597417134201497,0.32163962017007863,-0.16189790674992893,-0.10342604176701471,0.0,0.0,0.0,0.0,110.05069124423963,101.0,0.9700460829493087,0.029953917050691243,0.055299539170506916,0.0,1.0
test,dqn_sells_early_avoids_later_loss,158,0.10401579986833442,0.3462566435899194,0.2028567612452061,0.1433998823447133,0.09465281391128375,1.0,0.4873417721518987,0.759493670886076,0.4936708860759494,66.18354430379746,48.0,0.9667721518987342,0.03322784810126582,0.0759493670886076,0.0,1.0
test,dqn_sells_too_early_underperforms_hold,335,0.2205398288347597,0.39139104637349104,0.6313450020254239,-0.23995395565193284,-0.1688179058113834,0.0,0.5791044776119403,0.16119402985074627,0.5671641791044776,69.60597014925374,58.0,0.9708955223880597,0.029104477611940297,0.08059701492537313,0.0,1.0
test,dqn_waits_correctly_until_long_term,573,0.37722185648452927,0.6127016373002698,0.6127886572969063,-8.701999663651221e-05,0.0,0.0017452006980802793,1.0,1.0,0.9790575916230366,40.5,40.5,0.0013089005235602095,0.9986910994764397,1.0,0.9965095986038395,0.0034904013961605585
test,dqn_behaves_like_hold_to_terminal,811,0.5339038841342989,0.5285922120401879,0.5285922120401879,0.0,0.0,0.0,0.7040690505548706,0.7040690505548706,0.7151664611590629,,,0.0,1.0,1.0,1.0,0.0
test,partial_liquidation_useful,91,0.059907834101382486,0.5875771128949708,0.6340813353296715,-0.046504222434700544,-0.03093677611046952,0.13186813186813187,0.8791208791208791,0.7362637362637363,0.967032967032967,52.857142857142854,44.0,0.554945054945055,0.44505494505494503,1.0,0.0,1.0
test,dqn_loses_to_all_major_benchmarks,202,0.13298222514812377,0.256951934294817,0.4243946287869784,-0.16744269449216143,-0.12714595789339223,0.0,0.0,0.0,0.0,64.67821782178218,49.0,0.969059405940594,0.03094059405940594,0.07920792079207921,0.0,1.0
