split,comparison_scope,feature,feature_group,n_sell_or_trigger_steps,n_hold_steps,mean_on_sell_or_trigger_steps,mean_on_hold_steps,median_on_sell_or_trigger_steps,median_on_hold_steps,difference_in_means,standardized_difference
test,sell_steps_vs_hold_steps,VIX_Close,macro_market,1434,84382,0.8403262392637849,-0.08215507131681492,0.38729762464489553,-0.3850627532056103,0.9224813105805998,0.7462098185850821
test,sell_steps_vs_hold_steps,days_to_tax_transition_norm,tax_timing,1434,84382,0.27884258993905353,0.41598763353737395,0.25616438356164384,0.4191780821917808,-0.13714504359832042,-0.6224884523344981
test,sell_steps_vs_hold_steps,PC8,pca_feature,1434,84382,-1.11995894996314,0.0830211046991558,-1.0880128689571527,0.12093525377555109,-1.2029800546622957,-0.3637243404199094
test,sell_steps_vs_hold_steps,macd,technical_indicator,1434,84382,0.050806077899619224,0.4314921055612538,0.15547429048115036,0.4446282052793282,-0.38068602766163456,-0.3320574875161635
test,sell_steps_vs_hold_steps,macd_hist,technical_indicator,1434,84382,0.12693026305625726,0.49519967490076267,0.22891560032088015,0.5188407430591473,-0.3682694118445054,-0.33093510205698623
test,sell_steps_vs_hold_steps,PC7,pca_feature,1434,84382,-1.225194684481397,0.14460170763385718,-0.3722736336767393,-0.12459886891687195,-1.3697963921152543,-0.31634647433624263
test,sell_steps_vs_hold_steps,WTI_Close,macro_market,1434,84382,-0.31288070464935774,-0.006598799897068524,-0.5424789675844406,0.03187409602068709,-0.3062819047522892,-0.28762247223950094
test,sell_steps_vs_hold_steps,sma_50,technical_indicator,1434,84382,1.253943349748731,0.9107946476786425,1.5130317377025837,1.0776337772572913,0.3431487020700884,0.2656553065405161
test,sell_steps_vs_hold_steps,rsi_14,technical_indicator,1434,84382,0.016866565336710916,0.2837326720978124,-0.01434555952798762,0.2956901058488087,-0.26686610676110145,-0.2599704395129243
test,sell_steps_vs_hold_steps,PC5,pca_feature,1434,84382,-1.4241153613407358,0.2550022034691604,-2.720904713950726,0.22554726694408264,-1.6791175648098962,-0.2506449765648236
test,sell_steps_vs_hold_steps,PC4,pca_feature,1434,84382,-2.1673966423725517,-0.2803926710456856,-5.566113907059841,-0.02616449179539703,-1.887003971326866,-0.24048140627773612
test,sell_steps_vs_hold_steps,ema_50,technical_indicator,1434,84382,1.2466241875767643,0.9525617092856395,1.5172481882994666,1.1469379264702693,0.29406247829112475,0.22677084059392402
test,sell_steps_vs_hold_steps,Gold_Close,macro_market,1434,84382,0.37892482941311906,0.07382723999139586,0.40869397501190435,0.1029813943576265,0.3050975894217232,0.19545553528828738
test,sell_steps_vs_hold_steps,bb_upper,technical_indicator,1434,84382,1.1413760459905105,0.9268184821991933,1.3657809807217633,1.0603166798655392,0.21455756379131719,0.17785906041378072
test,sell_steps_vs_hold_steps,USD_JPN_Close,macro_market,1434,84382,0.22432102790154038,0.03214713513156337,0.0784870922293156,0.06105961229074078,0.192173892769977,0.15927666167399127
test,sell_steps_vs_hold_steps,PC1,pca_feature,1434,84382,4.229878907647735,-0.14242512224251766,-2.53615329548266,-0.01966086774687341,4.372304029890253,0.14728108399687156
test,sell_steps_vs_hold_steps,bb_middle,technical_indicator,1434,84382,1.128701561996042,0.9589999190844012,1.347183787809874,1.0976212341196352,0.16970164291164092,0.14054741832753456
test,sell_steps_vs_hold_steps,sma_20,technical_indicator,1434,84382,1.128701561996042,0.9589999190844012,1.347183787809874,1.0976212341196352,0.16970164291164092,0.14054741832753456
test,sell_steps_vs_hold_steps,ema_20,technical_indicator,1434,84382,1.1428796991835102,0.9767212681868189,1.398187053651879,1.130291183881993,0.16615843099669125,0.13622463946864957
test,sell_steps_vs_hold_steps,SPY_Close,macro_market,1434,84382,0.24060416081946778,-0.011937539920857306,0.3769639004717882,0.039437120986813526,0.2525417007403251,0.13072775017996707
test,sell_steps_vs_hold_steps,Wheat_Close,macro_market,1434,84382,-0.10611364781234044,0.007232283372854867,-0.39312833401304026,0.006599483271871909,-0.1133459311851953,-0.12956917776461757
test,sell_steps_vs_hold_steps,PC10,pca_feature,1434,84382,-0.32131356915810466,0.03995228423402933,0.7788441117978011,-0.03717405446108199,-0.361265853392134,-0.11946623897976334
test,sell_steps_vs_hold_steps,macd_signal,technical_indicator,1434,84382,-0.22233871825883209,-0.08384531300530179,-0.2128697488250887,-0.08778120912995765,-0.1384934052535303,-0.11878381132809229
test,sell_steps_vs_hold_steps,EUR_USD_Close,macro_market,1434,84382,-0.1610246626479148,-0.01575194314220978,-0.3702357077001716,-0.052872435642019246,-0.145272719505705,-0.11379110648860573
test,sell_steps_vs_hold_steps,sma_10,technical_indicator,1434,84382,1.0808881129125947,0.95702733222436,1.3172059911251952,1.0919004050653816,0.1238607806882347,0.10390124840046822
test,sell_steps_vs_hold_steps,bb_lower,technical_indicator,1434,84382,1.021990597090871,0.8973421129094268,1.1979435986686424,0.9928777367758618,0.12464848418144414,0.10303761822213048
test,sell_steps_vs_hold_steps,ema_10,technical_indicator,1434,84382,1.0766117372671518,0.9668556839443572,1.333325095512711,1.1082526449718375,0.10975605332279459,0.09124696820823558
test,sell_steps_vs_hold_steps,unrealized_gain_pct_norm,pnl_gain_path,1434,84382,0.6148968742860176,0.6341882183020974,0.632983504551288,0.6399072934280976,-0.019291344016079792,-0.0795695099124442
