split,feature_group,num_features,mean_abs_spearman_corr,max_abs_spearman_corr,mean_permutation_sensitivity,max_permutation_sensitivity,top_feature_in_group
test,pca_feature,10,0.09276138035498228,0.20770838972964864,0.017416947661547205,0.026161513858758246,PC1
test,technical_indicator,15,0.1571599291727692,0.21310860294413522,0.010574855994390337,0.015407319303572246,bb_lower
test,tax_timing,1,0.2141706563134223,0.2141706563134223,0.011945346594645755,0.011945346594645755,days_to_tax_transition_norm
test,macro_market,9,0.07547761898611133,0.142788146698472,0.00793449821959759,0.00901783474156057,Gold_Close
test,pnl_gain_path,1,0.10490100134553125,0.10490100134553125,0.003901240148362787,0.003901240148362787,unrealized_gain_pct_norm
validation,pca_feature,10,0.060555600018279,0.13616505302367363,0.016505321711803373,0.027251973888315007,PC1
validation,technical_indicator,15,0.139488138391,0.19825821039436792,0.01019526695411128,0.014533624465804737,bb_lower
validation,tax_timing,1,0.22471769145821968,0.22471769145821968,0.012781580689835504,0.012781580689835504,days_to_tax_transition_norm
validation,macro_market,9,0.061453340381640485,0.1421994678421962,0.008059686303036825,0.009135372104318319,EUR_USD_Close
validation,pnl_gain_path,1,0.10148306570256617,0.10148306570256617,0.004704577818436306,0.004704577818436306,unrealized_gain_pct_norm
