split,first_discretionary_sale_timing_bucket,bucket_order,num_episodes,mean_dqn_minus_hold_final_after_tax_value,mean_hold_terminal_after_tax_value,mean_hold_return_after_first_dqn_sale_expost,mean_hold_max_drawdown_after_first_dqn_sale_expost,num_valid_expost_path_episodes
validation,over_180_days_before,0,131,-0.14372556781256174,0.4239752692800886,0.7101743459131427,-0.7930205572239659,123
validation,91_to_180_days_before,1,310,-0.07715627538672233,0.3902169528229598,0.4611762489237418,-0.46518727352886463,297
validation,31_to_90_days_before,2,110,-0.08679055379152778,0.5076940039325002,0.5273473001873776,-0.24345639539626773,108
validation,8_to_30_days_before,3,133,-0.07176685134339605,0.4523745619641469,0.4647092915294228,-0.0889475159937992,126
validation,1_to_7_days_before,4,23,-0.02081446914413801,0.31118417907456836,0.12804063157902348,-0.062221459980501936,21
validation,no_discretionary_sale,99,810,-0.00030892054052178376,0.5912350507101127,,,0
test,over_180_days_before,0,180,-0.10155685492615084,0.41252151074054905,0.3556811130804551,-0.6659563548181088,178
test,91_to_180_days_before,1,196,-0.1185660270677292,0.4372269352071754,0.6341824742398918,-0.4407116176438197,187
test,31_to_90_days_before,2,140,-0.104160789577674,0.49179203689301587,-5.916511872413582,-7.538451362924027,138
test,8_to_30_days_before,3,167,-0.061031821643843236,0.5449130691591599,0.1478957111583633,-0.12863202749332445,167
test,1_to_7_days_before,4,21,-0.03779728352050019,0.7567325869146803,0.07608147633219564,-0.05031874763453224,21
test,no_discretionary_sale,99,815,-0.00011622094864142084,0.5281075914818104,,,0
