split,policy_name,policy_label,start_tax_transition_bucket,start_tax_transition_bucket_order,num_episodes,mean_start_days_to_tax_transition,median_start_days_to_tax_transition,mean_pct_original_sold_before_long_term,mean_pct_original_sold_at_or_after_long_term,pct_episodes_with_no_discretionary_sale,mean_final_after_tax_total_value,mean_excess_final_after_tax_value_vs_hold
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,0_to_30_days,0,335,10.0,7.0,3.880597014925373,96.11940298507463,94.32835820895522,0.6891689011549386,-0.0016025188871231404
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,31_to_60_days,1,164,45.8780487804878,45.5,15.701219512195122,84.29878048780488,81.09756097560977,0.597349553126817,-0.015560807154174077
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,61_to_90_days,2,134,74.46268656716418,74.0,18.84328358208955,81.15671641791045,79.8507462686567,0.48625936021639077,-0.014444605601923587
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,91_to_120_days,3,110,104.65454545454546,105.0,34.090909090909086,65.9090909090909,63.63636363636363,0.43501902744295845,-0.02965333111896413
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,121_to_180_days,4,152,149.6578947368421,148.0,61.348684210526315,38.651315789473685,32.89473684210527,0.5059415851621567,-0.05440910128887281
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,over_180_days,5,622,273.2652733118971,274.0,77.33118971061094,22.668810289389068,20.418006430868168,0.3171374885196833,-0.07397260796958806
validation,hold_to_terminal,Passive hold-to-terminal,0_to_30_days,0,335,10.0,7.0,0.0,100.0,100.0,0.6907714200420617,0.0
validation,hold_to_terminal,Passive hold-to-terminal,31_to_60_days,1,164,45.8780487804878,45.5,0.0,100.0,100.0,0.6129103602809911,0.0
validation,hold_to_terminal,Passive hold-to-terminal,61_to_90_days,2,134,74.46268656716418,74.0,0.0,100.0,100.0,0.5007039658183143,0.0
validation,hold_to_terminal,Passive hold-to-terminal,91_to_120_days,3,110,104.65454545454546,105.0,0.0,100.0,100.0,0.46467235856192257,0.0
validation,hold_to_terminal,Passive hold-to-terminal,121_to_180_days,4,152,149.6578947368421,148.0,0.0,100.0,100.0,0.5603506864510295,0.0
validation,hold_to_terminal,Passive hold-to-terminal,over_180_days,5,622,273.2652733118971,274.0,0.0,100.0,100.0,0.3911100964892714,0.0
validation,sell_immediately,Naive active: sell immediately,0_to_30_days,0,335,10.0,7.0,98.50746268656717,1.4925373134328357,0.0,0.6289593194092399,-0.06181210063282183
validation,sell_immediately,Naive active: sell immediately,31_to_60_days,1,164,45.8780487804878,45.5,100.0,0.0,0.0,0.5077821420452423,-0.10512821823574882
validation,sell_immediately,Naive active: sell immediately,61_to_90_days,2,134,74.46268656716418,74.0,100.0,0.0,0.0,0.45715000194251415,-0.043553963875800135
validation,sell_immediately,Naive active: sell immediately,91_to_120_days,3,110,104.65454545454546,105.0,100.0,0.0,0.0,0.40773081529600164,-0.05694154326592094
validation,sell_immediately,Naive active: sell immediately,121_to_180_days,4,152,149.6578947368421,148.0,100.0,0.0,0.0,0.43806733045527296,-0.12228335599575656
validation,sell_immediately,Naive active: sell immediately,over_180_days,5,622,273.2652733118971,274.0,100.0,0.0,0.0,0.2819064804916615,-0.10920361599760996
validation,sell_half_then_hold,Naive active: sell half then hold,0_to_30_days,0,335,10.0,7.0,49.25373134328358,50.74626865671642,0.0,0.6598653697256508,-0.030906050316410916
validation,sell_half_then_hold,Naive active: sell half then hold,31_to_60_days,1,164,45.8780487804878,45.5,50.0,50.0,0.0,0.5603462511631166,-0.052564109117874416
validation,sell_half_then_hold,Naive active: sell half then hold,61_to_90_days,2,134,74.46268656716418,74.0,50.0,50.0,0.0,0.47892698388041427,-0.021776981937900067
validation,sell_half_then_hold,Naive active: sell half then hold,91_to_120_days,3,110,104.65454545454546,105.0,50.0,50.0,0.0,0.4362015869289621,-0.028470771632960478
validation,sell_half_then_hold,Naive active: sell half then hold,121_to_180_days,4,152,149.6578947368421,148.0,50.0,50.0,0.0,0.49920900845315125,-0.06114167799787829
validation,sell_half_then_hold,Naive active: sell half then hold,over_180_days,5,622,273.2652733118971,274.0,50.0,50.0,0.0,0.33650828849046643,-0.05460180799880498
validation,sell_quarters_over_time,Naive active: sell quarters,0_to_30_days,0,335,10.0,7.0,76.71641791044776,23.283582089552237,0.0,0.6444939681114823,-0.0462774519305794
validation,sell_quarters_over_time,Naive active: sell quarters,31_to_60_days,1,164,45.8780487804878,45.5,100.0,0.0,0.0,0.5066546586529106,-0.10625570162808048
validation,sell_quarters_over_time,Naive active: sell quarters,61_to_90_days,2,134,74.46268656716418,74.0,100.0,0.0,0.0,0.4532893839921781,-0.047414581826136226
validation,sell_quarters_over_time,Naive active: sell quarters,91_to_120_days,3,110,104.65454545454546,105.0,100.0,0.0,0.0,0.40485486234194723,-0.05981749621997532
