split,policy_name,policy_label,sale_timing_bucket,sale_timing_bucket_order,sale_event_count,sold_fraction_of_original,share_of_policy_sales_pct
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,over_180_days_before,0,248,112.0,7.382992748846408
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,91_to_180_days_before,1,602,270.75,17.84772577455504
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,31_to_90_days_before,2,284,120.0,7.910349373764008
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,8_to_30_days_before,3,288,137.5,9.063941990771259
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,1_to_7_days_before,4,67,31.0,2.0435069215557022
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,at_or_after_long_term,5,889,845.75,55.75148319050758
validation,hold_to_terminal,Passive hold-to-terminal,at_or_after_long_term,5,1517,1517.0,100.0
validation,sell_immediately,Naive active: sell immediately,over_180_days_before,0,622,622.0,41.00197758734344
validation,sell_immediately,Naive active: sell immediately,91_to_180_days_before,1,262,262.0,17.270929466051417
validation,sell_immediately,Naive active: sell immediately,31_to_90_days_before,2,298,298.0,19.64403427818062
validation,sell_immediately,Naive active: sell immediately,8_to_30_days_before,3,164,164.0,10.81081081081081
validation,sell_immediately,Naive active: sell immediately,1_to_7_days_before,4,166,166.0,10.94264996704021
validation,sell_immediately,Naive active: sell immediately,at_or_after_long_term,5,5,5.0,0.3295978905735003
validation,sell_half_then_hold,Naive active: sell half then hold,over_180_days_before,0,622,311.0,20.50098879367172
validation,sell_half_then_hold,Naive active: sell half then hold,91_to_180_days_before,1,262,131.0,8.635464733025708
validation,sell_half_then_hold,Naive active: sell half then hold,31_to_90_days_before,2,298,149.0,9.82201713909031
validation,sell_half_then_hold,Naive active: sell half then hold,8_to_30_days_before,3,164,82.0,5.405405405405405
