split,policy_name,policy_label,num_episodes,mean_pct_original_sold_before_long_term,mean_pct_original_sold_at_or_after_long_term,pct_episodes_with_discretionary_sale_before_long_term,pct_episodes_with_no_discretionary_sale,median_days_remaining_at_first_realization,mean_days_remaining_at_first_realization,median_days_remaining_at_first_discretionary_sale,mean_days_remaining_at_first_discretionary_sale,mean_final_after_tax_total_value,mean_excess_final_after_tax_value_vs_hold
validation,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,1517,44.545154911008574,55.45484508899143,47.06657877389585,52.93342122610415,0.0,53.69215557020435,122.0,115.2065063649222,0.4719910314379137,-0.04124416962900927
validation,hold_to_terminal,Passive hold-to-terminal,1517,0.0,100.0,0.0,100.0,0.0,0.0,,,0.513235201066923,0.0
validation,sell_immediately,Naive active: sell immediately,1517,99.6704021094265,0.3295978905735003,99.6704021094265,0.0,126.0,148.37376400791035,126.0,148.37376400791035,0.42321568776228546,-0.09001951330463745
validation,sell_half_then_hold,Naive active: sell half then hold,1517,49.83520105471325,50.16479894528675,99.6704021094265,0.0,126.0,148.33289386947922,134.0,154.1239726027397,0.46822544441460423,-0.04500975665231873
validation,sell_quarters_over_time,Naive active: sell quarters,1517,94.8582729070534,5.1417270929466055,99.6704021094265,0.0,126.0,148.33289386947922,134.0,154.1239726027397,0.425058932861186,-0.088176268205737
validation,random_policy,Random benchmark,1517,97.26433750823995,2.7356624917600527,98.87936717205011,0.8569545154911009,126.0,147.98417930125248,133.0,153.23686006825938,0.42502658165745777,-0.08820861940946523
test,trained_dqn_first_sale_margin_0p070_normal_0p020,Preferred DQN,1519,43.13693219223173,56.86306780776826,46.60961158657011,53.39038841342989,0.0,49.14219881500988,97.5,106.03267045454545,0.4601173978650028,-0.04422808622412871
test,hold_to_terminal,Passive hold-to-terminal,1519,0.0,100.0,0.0,100.0,0.0,0.0,,,0.5043454840891316,0.0
test,sell_immediately,Naive active: sell immediately,1519,97.761685319289,2.238314680710994,97.761685319289,0.0,127.0,147.21066491112575,127.0,147.21066491112575,0.39430326964419576,-0.11004221444493581
test,sell_half_then_hold,Naive active: sell half then hold,1519,48.8808426596445,51.11915734035549,97.761685319289,0.0,127.0,147.05859117840686,138.0,154.16287094547965,0.44932437686666366,-0.055021107222467905
test,sell_quarters_over_time,Naive active: sell quarters,1519,94.76629361421988,5.233706385780119,97.761685319289,0.0,127.0,147.05859117840686,138.0,154.16287094547965,0.3972738684694254,-0.10707161561970616
test,random_policy,Random benchmark,1519,95.67149440421329,4.328505595786702,97.10335747202107,1.053324555628703,126.0,146.76102699144172,135.0,153.2164948453608,0.3965891389578455,-0.10775634513128612
