split,bucket_system,market_cap_bucket,market_cap_source,num_episodes,preferred_dqn_mean_final_after_tax_value,preferred_dqn_median_final_after_tax_value,hold_to_terminal_mean_final_after_tax_value,dqn_minus_hold_to_terminal_mean_difference,dqn_minus_hold_to_terminal_median_difference,dqn_win_rate_vs_hold_to_terminal,dqn_win_rate_vs_sell_immediately,dqn_win_rate_vs_sell_half_then_hold,dqn_win_rate_vs_sell_quarters_over_time,mean_tax_paid_preferred_dqn,mean_effective_tax_rate_preferred_dqn,short_term_sold_fraction_preferred_dqn,long_term_sold_fraction_preferred_dqn,no_cut_percentage_preferred_dqn,discretionary_sale_percentage_preferred_dqn,average_days_to_first_sale_preferred_dqn,median_days_to_first_sale_preferred_dqn,median_EAAT_Sharpe_preferred_dqn,median_TA_EAAT_Sharpe_preferred_dqn,mean_market_cap_at_entry,median_market_cap_at_entry,sparse_bucket_warning
validation,sample_relative_quintile,Q1_smallest,yfinance_point_in_time_proxy,299,0.6483398804092882,0.3953251969620206,0.7181836280499059,-0.06984374764061768,0.0,0.1806020066889632,0.6655518394648829,0.5919732441471572,0.6588628762541806,0.09913067681996879,0.14256464225690046,0.49247491638795987,0.5075250836120402,0.4816053511705686,0.5183946488294314,113.04516129032258,106.0,1.2182548235901656,1.377551661415565,3659352080.0836577,3874831395.729309,False
validation,sample_relative_quintile,Q2,yfinance_point_in_time_proxy,298,0.451091668066785,0.3485593295788692,0.49129515726823736,-0.040203489201452364,0.0,0.13758389261744966,0.5939597315436241,0.5436241610738255,0.5637583892617449,0.06995966541905628,0.13842922160068555,0.4429530201342282,0.5570469798657718,0.5302013422818792,0.4697986577181208,113.25714285714285,107.5,1.058047608436528,1.1387818539269934,7151902396.229172,7159968861.148834,False
validation,sample_relative_quintile,Q3,yfinance_point_in_time_proxy,299,0.42945002993934406,0.3495420493631992,0.4602330566328435,-0.030783026693499485,0.0,0.12709030100334448,0.568561872909699,0.5016722408026756,0.5953177257525084,0.0673374897004343,0.1371391181375313,0.44648829431438125,0.5535117056856187,0.5317725752508361,0.4682274247491639,114.50714285714285,101.0,1.1410228587335172,1.2296250136298477,13151512095.815659,12753242656.0,False
validation,sample_relative_quintile,Q4,yfinance_point_in_time_proxy,298,0.38209055411193016,0.3390540984044823,0.4214236622467149,-0.039333108134784786,0.0,0.1174496644295302,0.5771812080536913,0.5,0.5838926174496645,0.058497954028442455,0.13385009984099633,0.41023489932885904,0.589765100671141,0.5604026845637584,0.4395973154362416,113.66412213740458,112.0,1.100535911988116,1.192793460950793,30977904578.97564,29469249822.768982,False
validation,sample_relative_quintile,Q5_largest,yfinance_point_in_time_proxy,299,0.4226747932923,0.3337740857284155,0.45103424551269256,-0.028359452220392677,0.0,0.13043478260869565,0.6220735785953178,0.5719063545150501,0.6354515050167224,0.06527579118388692,0.13644355681842496,0.4230769230769231,0.5769230769230769,0.5551839464882943,0.44481605351170567,98.3609022556391,93.0,1.2755977763747837,1.4172991376903576,180976092069.37585,93561286775.63477,False
test,sample_relative_quintile,Q1_smallest,yfinance_point_in_time_proxy,302,0.4571248364875453,0.35831377777899376,0.5175760472244292,-0.06045121073688382,0.0,0.12251655629139073,0.6688741721854304,0.5827814569536424,0.6821192052980133,0.07316540405004412,0.1381215703805722,0.45612582781456956,0.5438741721854304,0.5165562913907285,0.48344370860927155,75.08904109589041,63.0,1.3045278672342913,1.458711409290188,4707935996.158722,4753969953.639221,False
test,sample_relative_quintile,Q2,yfinance_point_in_time_proxy,302,0.4752634371609834,0.37046269765568574,0.5093491482142986,-0.03408571105331531,0.0,0.15562913907284767,0.5860927152317881,0.5264900662251656,0.5794701986754967,0.07646802064156184,0.13979692588250128,0.43625827814569534,0.5637417218543046,0.5231788079470199,0.4768211920529801,58.673611111111114,42.0,1.3831399028389761,1.501812133687928,9003903777.0379,8867378675.016357,False
test,sample_relative_quintile,Q3,yfinance_point_in_time_proxy,302,0.4642950878988682,0.3512444126763625,0.5112218449459007,-0.04692675704703247,0.0,0.11258278145695365,0.6324503311258278,0.5364238410596026,0.6622516556291391,0.07265296385771453,0.13799804054374273,0.41887417218543044,0.5811258278145696,0.5331125827814569,0.46688741721854304,64.23404255319149,51.0,1.4250999661252843,1.53634398616596,16586754126.76657,16198017448.951721,False
test,sample_relative_quintile,Q4,yfinance_point_in_time_proxy,302,0.43578618029660304,0.3709136915804817,0.47853845308295606,-0.042752272786352886,0.0,0.10596026490066225,0.6324503311258278,0.5198675496688742,0.6225165562913907,0.06742785196265362,0.13905666361152408,0.445364238410596,0.554635761589404,0.5264900662251656,0.4735099337748344,65.37062937062937,57.0,1.534582485290772,1.672521290073645,38163360183.21107,36899958170.19092,False
test,sample_relative_quintile,Q5_largest,yfinance_point_in_time_proxy,302,0.47065022531169765,0.35615379169210337,0.5080373170884278,-0.03738709177673024,0.0,0.09933774834437085,0.6423841059602649,0.5529801324503312,0.6589403973509934,0.07103101845031043,0.1357165296703986,0.38658940397350994,0.6134105960264901,0.5827814569536424,0.41721854304635764,55.142857142857146,49.5,1.641327484072118,1.7796829141989692,287427816537.5861,134176750198.41211,False
