split,bucket_system,market_cap_bucket,market_cap_source,num_episodes,preferred_dqn_mean_final_after_tax_value,preferred_dqn_median_final_after_tax_value,hold_to_terminal_mean_final_after_tax_value,dqn_minus_hold_to_terminal_mean_difference,dqn_minus_hold_to_terminal_median_difference,dqn_win_rate_vs_hold_to_terminal,dqn_win_rate_vs_sell_immediately,dqn_win_rate_vs_sell_half_then_hold,dqn_win_rate_vs_sell_quarters_over_time,mean_tax_paid_preferred_dqn,mean_effective_tax_rate_preferred_dqn,short_term_sold_fraction_preferred_dqn,long_term_sold_fraction_preferred_dqn,no_cut_percentage_preferred_dqn,discretionary_sale_percentage_preferred_dqn,average_days_to_first_sale_preferred_dqn,median_days_to_first_sale_preferred_dqn,median_EAAT_Sharpe_preferred_dqn,median_TA_EAAT_Sharpe_preferred_dqn,mean_market_cap,median_market_cap,sparse_bucket_warning
validation,standard,micro,non_point_in_time_current_market_cap_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,True
validation,standard,small,non_point_in_time_current_market_cap_sensitivity,16,0.3088378267019725,0.2683014464579489,0.3723886635291032,-0.06355083682713063,-0.01279708047314737,0.1875,0.375,0.4375,0.375,0.057346498079614776,0.1320392233608979,0.640625,0.359375,0.25,0.75,104.83333333333333,59.0,1.149362700347989,1.460263073898414,1462132223.8552494,1557015014.5974026,True
validation,standard,mid,non_point_in_time_current_market_cap_sensitivity,443,0.5039775382408754,0.3494706896015095,0.53818771857445,-0.0342101803335746,0.0,0.17607223476297967,0.5575620767494357,0.5259593679458239,0.5598194130925508,0.07750750456936985,0.13853610621973778,0.4672686230248307,0.5327313769751693,0.5124153498871332,0.48758465011286684,119.27777777777777,114.0,1.053026337939802,1.1647616744862124,6315717656.007617,6184973228.450455,False
validation,standard,large,non_point_in_time_current_market_cap_sensitivity,950,0.4521287971436826,0.34882382918988913,0.4954773396015012,-0.04334854245781869,0.0,0.12421052631578948,0.6242105263157894,0.5442105263157895,0.6273684210526316,0.06972203285650952,0.13631774091187432,0.42973684210526314,0.5702631578947368,0.5431578947368421,0.4568421052631579,108.16129032258064,100.5,1.1796033373723627,1.2908968570554387,45733703595.29375,27645658722.303223,False
validation,standard,mega,non_point_in_time_current_market_cap_sensitivity,108,0.5396720623784933,0.38663235914007643,0.5879532356680458,-0.048281173289552476,0.0,0.12037037037037036,0.6666666666666666,0.6018518518518519,0.6666666666666666,0.08324924280045644,0.14378899739796863,0.4652777777777778,0.5347222222222222,0.5185185185185185,0.48148148148148145,100.48076923076923,98.5,1.4425800783569422,1.7168904184710045,905722618745.7206,360336117057.70746,False
test,standard,micro,non_point_in_time_current_market_cap_sensitivity,0,,,,,,,,,,,,,,,,,,,,,,True
test,standard,small,non_point_in_time_current_market_cap_sensitivity,13,0.2223416339524486,0.2361812566690019,0.20833873935107444,0.014002894601374204,0.0,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.040574337402006604,0.11613651759442467,0.5769230769230769,0.4230769230769231,0.38461538461538464,0.6153846153846154,87.5,67.0,0.7636137916907346,0.7717459714169476,1332418265.444646,1395876673.305267,True
test,standard,mid,non_point_in_time_current_market_cap_sensitivity,429,0.40033446121418614,0.3315506742674876,0.42005956329169286,-0.019725102077506752,0.0,0.17249417249417248,0.5571095571095571,0.5198135198135199,0.5804195804195804,0.06608583348648976,0.13801277232194645,0.4493006993006993,0.5506993006993007,0.5174825174825175,0.4825174825174825,68.40579710144928,53.0,1.2359784778225946,1.3764775078774891,6384179564.03998,6292476572.572746,False
test,standard,large,non_point_in_time_current_market_cap_sensitivity,955,0.47397210138904405,0.3698085552803859,0.5304871800114898,-0.056515078622445716,0.0,0.09947643979057591,0.6544502617801047,0.5445026178010471,0.6554973821989529,0.0734502044639752,0.1393831017184526,0.431413612565445,0.5685863874345549,0.5319371727748691,0.4680628272251309,62.83668903803132,52.0,1.4964240064806986,1.6450211714982796,47077325000.62886,28203792346.33557,False
test,standard,mega,non_point_in_time_current_market_cap_sensitivity,122,0.5872216838371684,0.45140143293545587,0.627635878333753,-0.040414194496584684,0.0,0.08196721311475409,0.7213114754098361,0.6147540983606558,0.7377049180327869,0.08650506787572443,0.1328301827117568,0.3524590163934426,0.6475409836065574,0.6229508196721312,0.3770491803278688,57.34782608695652,56.0,1.9009197088293277,2.1804552522452916,839122080707.9994,343630690003.9613,False
